Testing SD card write operations: 1970-01-01 02:00:10
2022-06-27 12:20:21: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-21.58114', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-7.604897'}
2022-06-27 12:20:21: {'Acceleration': '(-0.002807617, 0.009887695, 1.072632)', 'Roll': '0.1499715', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '1.12418'}
2022-06-27 12:20:22: {'Acceleration': '(-0.05883789, 0.01525879, 1.026611)', 'Roll': '3.280189', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-1.790815'}
2022-06-27 12:20:23: {'Acceleration': '(-0.09191895, 0.0769043, 1.044434)', 'Roll': '5.029552', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-4.195077'}
2022-06-27 12:20:24: {'Acceleration': '(-0.1591797, 0.09387207, 0.9810791)', 'Roll': '9.215907', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-5.395431'}
2022-06-27 12:20:25: {'Acceleration': '(-0.1671143, 0.09802246, 1.028809)', 'Roll': '9.226243', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '-5.497056'}
2022-06-27 12:20:26: {'Acceleration': '(-0.2386475, 0.04199219, 0.9759521)', 'Roll': '13.74078', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-2.393312'}
2022-06-27 12:20:26: {'Acceleration': '(-0.06567383, 0.1439209, 0.987915)', 'Roll': '3.803267', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-8.270622'}
2022-06-27 12:20:27: {'Acceleration': '(-0.1798096, 0.07702637, 0.989624)', 'Roll': '10.63288', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.374465'}
2022-06-27 12:20:28: {'Acceleration': '(-0.1040039, 0.0769043, 1.008545)', 'Roll': '5.887685', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-4.355114'}
2022-06-27 12:20:29: {'Acceleration': '(-0.2266846, 0.07971191, 0.9934082)', 'Roll': '12.85416', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.684917'}
2022-06-27 12:20:30: {'Acceleration': '(-0.2982178, 0.06933594, 0.9342041)', 'Roll': '17.70419', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-4.044321'}
2022-06-27 12:20:31: {'Acceleration': '(-0.4165039, 0.01000977, 0.9577637)', 'Roll': '21.04683', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-2.374371'}
2022-06-27 12:20:32: {'Acceleration': '(-0.2886963, -0.241333, 0.9422607)', 'Roll': '17.28594', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '13.51113'}
2022-06-27 12:20:33: {'Acceleration': '(-0.1784668, -0.1184082, 0.9942627)', 'Roll': '10.17604', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.540596'}
2022-06-27 12:20:33: {'Acceleration': '(-0.1882324, -0.3137207, 0.8924561)', 'Roll': '11.90998', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '18.98106'}
2022-06-27 12:20:34: {'Acceleration': '(-0.2686768, -0.28479, 0.9208984)', 'Roll': '16.26487', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '16.53485'}
2022-06-27 12:20:35: {'Acceleration': '(-0.295166, -0.08630371, 1.135254)', 'Roll': '14.57421', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '4.207973'}
2022-06-27 12:20:36: {'Acceleration': '(-0.3493652, -0.2294922, 0.9764404)', 'Roll': '19.68694', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.64511'}
2022-06-27 12:20:37: {'Acceleration': '(-0.3676758, -0.1588135, 0.9511719)', 'Roll': '20.88222', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '8.366282'}
2022-06-27 12:20:38: {'Acceleration': '(-0.3811035, -0.230957, 0.9483643)', 'Roll': '21.8929', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.73322'}
2022-06-27 12:20:39: {'Acceleration': '(-0.3110352, -0.1651611, 0.9432373)', 'Roll': '18.25012', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '9.441462'}
2022-06-27 12:20:39: {'Acceleration': '(-0.1339111, -0.1723633, 1.031372)', 'Roll': '7.397776', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '9.410058'}
2022-06-27 12:20:40: {'Acceleration': '(-0.1542969, -0.0994873, 1.0177)', 'Roll': '8.621144', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '4.877241'}
2022-06-27 12:20:41: {'Acceleration': '(-0.09875488, -0.2049561, 0.9086914)', 'Roll': '6.202456', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '12.63841'}
2022-06-27 12:20:42: {'Acceleration': '(-0.04101563, 0.01098633, 1.026611)', 'Roll': '2.287889', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-0.6126413'}
2022-06-27 12:20:43: {'Acceleration': '(-0.3188477, 0.1236572, 0.9724121)', 'Roll': '18.15398', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '-6.889959'}
2022-06-27 12:20:44: {'Acceleration': '(-0.2564697, 0.05090332, 0.8135986)', 'Roll': '17.49635', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '-3.414853'}
2022-06-27 12:20:45: {'Acceleration': '(-0.3641357, -0.0246582, 0.5710449)', 'Roll': '32.52426', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '11.11308'}
