Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:42:00: {'Acceleration': '(-0.3690186, 0.0559082, 0.9493408)', 'Roll': '21.24161', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.751143'}
2022-07-01 13:42:01: {'Acceleration': '(-0.369873, 0.06616211, 0.9442139)', 'Roll': '20.25325', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-3.370231'}
2022-07-01 13:42:02: {'Acceleration': '(-0.3485107, 0.06860352, 0.9528809)', 'Roll': '20.0897', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.868188'}
2022-07-01 13:42:03: {'Acceleration': '(-0.338501, 0.07702637, 0.9360352)', 'Roll': '20.99694', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.608094'}
2022-07-01 13:42:04: {'Acceleration': '(-0.3554688, 0.08825684, 0.9267578)', 'Roll': '20.9849', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.081123'}
2022-07-01 13:42:04: {'Acceleration': '(-0.3651123, 0.09008789, 0.8970947)', 'Roll': '22.14603', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.313981'}
2022-07-01 13:42:05: {'Acceleration': '(-0.3800049, 0.08898926, 0.9031982)', 'Roll': '22.81807', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.415102'}
2022-07-01 13:42:06: {'Acceleration': '(-0.387207, 0.07678223, 0.9221191)', 'Roll': '22.7109', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.644939'}
2022-07-01 13:42:07: {'Acceleration': '(-0.3824463, 0.08044434, 0.9239502)', 'Roll': '22.4859', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.079787'}
2022-07-01 13:42:08: {'Acceleration': '(-0.3742676, 0.06286621, 0.951416)', 'Roll': '21.47366', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.518678'}
2022-07-01 13:42:09: {'Acceleration': '(-0.371582, 0.06323242, 0.9564209)', 'Roll': '21.2318', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.52645'}
2022-07-01 13:42:10: {'Acceleration': '(-0.3503418, 0.06726074, 0.947876)', 'Roll': '20.28468', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.807913'}
2022-07-01 13:42:10: {'Acceleration': '(-0.3461914, 0.07067871, 0.9593506)', 'Roll': '19.84249', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.149031'}
2022-07-01 13:42:11: {'Acceleration': '(-0.3398438, 0.07287598, 0.9343262)', 'Roll': '20.80442', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.872006'}
2022-07-01 13:42:12: {'Acceleration': '(-0.3631592, 0.09143066, 0.9255371)', 'Roll': '21.75237', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.944241'}
2022-07-01 13:42:13: {'Acceleration': '(-0.371582, 0.1069336, 0.9006348)', 'Roll': '22.41996', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.802069'}
2022-07-01 13:42:14: {'Acceleration': '(-0.3897705, 0.08178711, 0.9119873)', 'Roll': '23.14118', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.730176'}
2022-07-01 13:42:15: {'Acceleration': '(-0.3770752, 0.07885742, 0.9222412)', 'Roll': '22.2381', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.525313'}
2022-07-01 13:42:16: {'Acceleration': '(-0.3811035, 0.06982422, 0.9403076)', 'Roll': '22.08847', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.441571'}
2022-07-01 13:42:17: {'Acceleration': '(-0.3673096, 0.08032227, 0.9239502)', 'Roll': '20.74608', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-3.10338'}
2022-07-01 13:42:17: {'Acceleration': '(-0.355957, 0.06115723, 0.9584961)', 'Roll': '20.6803', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.026551'}
2022-07-01 13:42:18: {'Acceleration': '(-0.3435059, 0.07324219, 0.9528809)', 'Roll': '19.82382', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.135801'}
2022-07-01 13:42:19: {'Acceleration': '(-0.3465576, 0.07006836, 0.9415283)', 'Roll': '20.20765', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.582042'}
2022-07-01 13:42:20: {'Acceleration': '(-0.3687744, 0.09472656, 0.9223633)', 'Roll': '21.79226', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.447282'}
2022-07-01 13:42:21: {'Acceleration': '(-0.3439941, 0.06726074, 0.9489746)', 'Roll': '20.01998', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.953481'}
2022-07-01 13:42:22: {'Acceleration': '(-0.369873, 0.06384277, 0.9539795)', 'Roll': '21.19211', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.288006'}
2022-07-01 13:42:23: {'Acceleration': '(-0.3453369, 0.07055664, 0.9354248)', 'Roll': '20.00592', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.424439'}
2022-07-01 13:42:23: {'Acceleration': '(-0.3597412, 0.0904541, 0.9215088)', 'Roll': '21.32482', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.258135'}
