Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
17:07:11,"(0.0, 0.0, 0.0)",-15.69075,4.541183,87.45158,-5.80048
17:07:12,"(0.3413086, 0.07983398, 0.8990479)",-20.78843,4.536165,86.94976,-4.441268
17:07:12,"(0.3095703, 0.07324219, 0.9509277)",-18.03243,4.536165,86.94976,-4.188785
17:07:13,"(0.3640137, 0.08154297, 0.9094238)",-21.81467,4.536165,86.94976,-4.630102
17:07:14,"(0.2675781, 0.07336426, 0.986084)",-15.18187,4.536165,86.94976,-4.106961
17:07:15,"(0.3861084, 0.06994629, 0.9248047)",-22.44331,4.541183,87.45158,-4.317874
17:07:16,"(0.4042969, 0.0567627, 0.9182129)",-23.7643,4.536165,86.94976,-3.238178
17:07:17,"(0.3851318, 0.159668, 0.9438477)",-22.19764,4.536165,86.94976,-8.901881
17:07:17,"(0.2758789, 0.1887207, 0.9462891)",-16.25339,4.536165,86.94976,-10.95638
17:07:18,"(0.1491699, -0.1148682, 0.8875732)",-9.540254,4.536165,86.94976,7.273242
17:07:19,"(-0.03552246, -0.1765137, 0.9855957)",1.576616,4.536165,86.94976,9.262315
17:07:20,"(0.06347656, -0.1608887, 0.970459)",-3.742317,4.546201,87.95336,9.393515
17:07:21,"(-0.03540039, -0.5200195, 0.4401855)",3.679956,4.541183,87.45158,41.94963
17:07:22,"(0.1555176, -0.510498, 1.023804)",-8.6373,4.536165,86.94976,25.9745
17:07:23,"(-0.2489014, -0.1555176, 1.001709)",13.95407,4.536165,86.94976,8.568342
17:07:23,"(-0.3083496, -0.1456299, 0.9683838)",17.66235,4.541183,87.45158,8.349534
17:07:24,"(-0.3093262, -0.1495361, 0.9638672)",17.79258,4.541183,87.45158,8.403033
17:07:25,"(-0.3234863, -0.1416016, 0.9677734)",18.42846,4.541183,87.45158,8.162565
17:07:26,"(-0.3120117, -0.144165, 0.9571533)",18.05487,4.536165,86.94976,7.972095
17:07:27,"(-0.324585, -0.09130859, 0.9709473)",18.48464,4.536165,86.94976,5.09667
17:07:28,"(-0.3395996, -0.08935547, 0.9700928)",19.29358,4.536165,86.94976,5.80162
17:07:29,"(-0.3223877, -0.1140137, 0.9716797)",18.35502,4.536165,86.94976,6.09355
17:07:29,"(-0.3009033, -0.05285645, 0.9691162)",17.17578,4.541183,87.45158,2.659231
17:07:30,"(-0.3215332, -0.04748535, 0.9916992)",17.96396,4.536165,86.94976,2.607938
17:07:31,"(-0.3461914, -0.01452637, 1.000977)",19.07813,4.541183,87.45158,0.7857677
17:07:32,"(-0.2995605, -0.05273438, 0.9945068)",17.7967,4.541183,87.45158,2.568217
17:07:33,"(-0.2799072, -0.02563477, 0.9749756)",16.01832,4.541183,87.45158,1.447663
17:07:34,"(-0.3011475, 0.0009765625, 0.9666748)",17.30334,4.541183,87.45158,-0.05526228
17:07:34,"(-0.3031006, -0.01843262, 1.003296)",16.91857,4.536165,86.94976,0.6902015
17:07:35,"(-0.2867432, -0.0189209, 0.9671631)",16.51396,4.536165,86.94976,1.074532
17:07:36,"(-0.3134766, -0.01416016, 0.9907227)",17.558,4.541183,87.45158,0.7807146
17:07:37,"(-0.2609863, -0.04431152, 0.9852295)",14.83682,4.541183,87.45158,3.400459
17:07:38,"(-0.338501, -0.06970215, 1.011963)",18.49505,4.541183,87.45158,3.73729
17:07:39,"(-0.345459, -0.1430664, 0.9169922)",24.16842,4.541183,87.45158,6.550036
17:07:40,"(-0.3847656, -0.07849121, 0.9697266)",21.64206,4.536165,86.94976,2.64693
17:07:40,"(-0.4090576, -0.133667, 0.9833984)",24.59062,4.536165,86.94976,7.297474
17:07:41,"(-0.4237061, -0.1365967, 0.9747314)",23.84797,4.541183,87.45158,6.734719
17:07:42,"(-0.4421387, -0.1115723, 0.9049072)",26.04019,4.541183,87.45158,6.321484
17:07:43,"(-0.3294678, -0.1181641, 0.9044189)",20.01601,4.521111,85.44443,6.998621
17:07:44,"(-0.4715576, -0.07995605, 0.9378662)",24.96093,4.541183,87.45158,2.974529
17:07:45,"(-0.3811035, -0.1367188, 0.9256592)",22.37747,4.541183,87.45158,7.777137
17:07:46,"(-0.3847656, -0.1601563, 0.956665)",21.90973,4.536165,86.94976,8.828602
17:07:46,"(-0.4549561, -0.1184082, 0.979126)",25.63981,4.536165,86.94976,6.76787
17:07:47,"(-0.3890381, -0.1016846, 0.9416504)",22.44772,4.531147,86.44797,5.69943
17:07:48,"(-0.3685303, -0.1350098, 0.901001)",22.2457,4.541183,87.45158,7.896046
17:07:49,"(-0.3590088, -0.1488037, 0.911499)",21.49781,4.541183,87.45158,8.981228
17:07:50,"(-0.3428955, -0.1173096, 0.8139648)",22.84403,4.541183,87.45158,7.565578
17:07:51,"(-0.4064941, -0.1712646, 0.9726563)",22.68111,4.536165,86.94976,9.227779
17:07:52,"(-0.3983154, -0.147583, 0.8779297)",22.69857,4.541183,87.45158,7.800595
17:07:52,"(-0.5257568, -0.1951904, 0.9954834)",27.84043,4.546201,87.95336,9.83619
17:07:53,"(-0.4007568, -0.1341553, 0.8977051)",24.05712,4.536165,86.94976,7.770689
17:07:54,"(-0.3953857, -0.1865234, 0.8905029)",22.2084,4.541183,87.45158,9.002154
17:07:55,"(-0.3179932, -0.1789551, 0.946167)",18.57676,4.536165,86.94976,10.16415
17:07:56,"(-0.3771973, -0.1817627, 0.8775635)",23.25916,4.536165,86.94976,10.77394
17:07:57,"(-0.3634033, -0.1646729, 0.982666)",24.34897,4.541183,87.45158,2.286918
17:07:57,"(-0.3359375, -0.1324463, 1.013062)",18.34584,4.541183,87.45158,7.073883
17:07:58,"(-0.3670654, -0.121582, 0.9078369)",22.01495,4.536165,86.94976,7.077622
17:07:59,"(-0.409668, -0.1546631, 1.013062)",24.81322,4.541183,87.45158,7.920241
17:08:00,"(-0.3757324, -0.1351318, 1.032715)",19.99289,4.541183,87.45158,7.010203
17:08:01,"(-0.3503418, -0.0925293, 0.8602295)",22.15937,4.541183,87.45158,5.68896
17:08:02,"(-0.4382324, -0.144043, 0.9415283)",27.54596,4.536165,86.94976,7.724779
17:08:03,"(-0.407959, -0.1413574, 0.9315186)",28.46929,4.541183,87.45158,7.598328
17:08:04,"(-0.4366455, -0.1481934, 0.876709)",26.47563,4.541183,87.45158,8.947688
17:08:04,"(-0.3737793, -0.1516113, 0.9359131)",21.77048,4.541183,87.45158,8.55537
17:08:05,"(-0.4160156, -0.1707764, 0.9569092)",23.49696,4.536165,86.94976,9.295096
17:08:06,"(-0.4498291, -0.1899414, 0.9833984)",22.69881,4.536165,86.94976,7.995258
17:08:07,"(-0.3939209, -0.1595459, 0.9057617)",23.50449,4.541183,87.45158,10.21964
17:08:08,"(-0.420166, -0.2167969, 0.9366455)",24.97981,4.541183,87.45158,12.74927
17:08:09,"(-0.4511719, -0.2797852, 0.8999023)",26.62719,4.526129,85.94621,15.53231
17:08:10,"(-0.4018555, -0.1741943, 0.902832)",23.99411,4.536165,86.94976,9.290328
17:08:11,"(-0.4179688, -0.1793213, 0.9063721)",25.5297,4.541183,87.45158,9.738862
17:08:12,"(-0.4020996, -0.2333984, 0.9162598)",23.69422,4.541183,87.45158,13.12985
17:08:12,"(-0.4036865, -0.1903076, 0.9023438)",25.4191,4.541183,87.45158,10.78487
17:08:13,"(-0.4200439, -0.2226563, 0.9040527)",24.92068,4.541183,87.45158,12.59067
17:08:14,"(-0.4243164, -0.2070313, 0.9110107)",24.97443,4.541183,87.45158,12.02662
17:08:15,"(-0.4118652, -0.2052002, 0.9173584)",24.17859,4.541183,87.45158,11.53358
17:08:16,"(-0.4091797, -0.192627, 0.9208984)",23.95685,4.541183,87.45158,10.82171
17:08:17,"(-0.4425049, -0.1878662, 0.9008789)",26.15992,4.541183,87.45158,10.6017
17:08:17,"(-0.4024658, -0.2749023, 0.9145508)",23.75283,4.541183,87.45158,14.79363
17:08:18,"(-0.3873291, -0.1674805, 0.9158936)",22.92338,4.541183,87.45158,9.123203
17:08:19,"(-0.4277344, -0.1843262, 0.9145508)",25.06544,4.541183,87.45158,10.34639
17:08:20,"(-0.4282227, -0.1036377, 0.9223633)",25.05964,4.541183,87.45158,5.81179
17:08:21,"(-0.4289551, -0.03930664, 0.9204102)",24.98776,4.541183,87.45158,2.216712
17:08:22,"(-0.4537354, -0.01831055, 0.9477539)",25.58268,4.541183,87.45158,0.72552
17:08:23,"(-0.4473877, 0.008300781, 0.9304199)",25.68034,4.541183,87.45158,-0.5968438
17:08:24,"(-0.4490967, -0.06066895, 0.9124756)",26.20521,4.531147,86.44797,3.413906
17:08:24,"(-0.4830322, 0.02331543, 0.9119873)",24.93243,4.536165,86.94976,-0.6404717
17:08:25,"(-0.4719238, -0.001342773, 0.9454346)",26.17014,4.541183,87.45158,0.07303356
17:08:26,"(-0.4335938, -0.06018066, 0.9281006)",25.04123,4.541183,87.45158,2.638914
17:08:27,"(-0.4384766, -0.03198242, 0.9206543)",25.46688,4.536165,86.94976,1.796399
17:08:28,"(-0.4227295, -0.07495117, 0.9735107)",23.47203,4.536165,86.94976,4.039521
17:08:29,"(-0.3232422, -0.08483887, 0.8563232)",25.89117,4.541183,87.45158,7.285645
17:08:29,"(-0.5465088, -0.1903076, 1.077271)",26.89908,4.541183,87.45158,9.776944
17:08:30,"(-0.4311523, -0.1538086, 0.8781738)",26.14941,4.541183,87.45158,7.146586
17:08:31,"(-0.4509277, -0.1467285, 0.8963623)",26.70533,4.536165,86.94976,8.319514
17:08:32,"(-0.3730469, -0.1724854, 0.9342041)",25.84904,4.541183,87.45158,9.188249
17:08:33,"(-0.4416504, -0.1917725, 0.9960938)",23.91165,4.541183,87.45158,9.981853
17:08:34,"(-0.4259033, -0.1612549, 0.9405518)",24.3621,4.541183,87.45158,9.663531
17:08:35,"(-0.3476563, -0.1550293, 0.9210205)",20.67994,4.536165,86.94976,8.949324
17:08:35,"(-0.3753662, -0.2692871, 0.8187256)",24.63033,4.541183,87.45158,16.64585
17:08:36,"(-0.4364014, -0.2419434, 0.8748779)",26.51066,4.541183,87.45158,13.89956
17:08:37,"(-0.472168, -0.194458, 0.8990479)",27.70786,4.541183,87.45158,10.84039
17:08:38,"(-0.4001465, -0.2473145, 0.8719482)",21.72452,4.546201,87.95336,12.34445
17:08:39,"(-0.4403076, -0.2163086, 0.8894043)",26.33813,4.541183,87.45158,12.20314
17:08:40,"(-0.3876953, -0.270874, 0.8991699)",23.32427,4.541183,87.45158,15.16647
17:08:41,"(-0.4056396, -0.2615967, 0.9171143)",23.85981,4.541183,87.45158,14.62046
17:08:41,"(-0.4034424, -0.1638184, 0.9100342)",26.10577,4.541183,87.45158,9.124032
17:08:42,"(-0.4263916, -0.1278076, 0.9365234)",24.84181,4.551219,88.45518,8.662503
17:08:43,"(-0.4156494, -0.112915, 0.9349365)",23.96873,4.546201,87.95336,6.066905
17:08:44,"(-0.4407959, -0.07568359, 0.918335)",25.64076,4.541183,87.45158,4.249166
