Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:07:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a4bd4abd36354ec998f7e759cdf96bea53d18f071494b947c883ef7fc90bde47', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:08: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a390e9d1282101931116a85457659c14ae83e71cd734e33bf3e1a49a2b896d6d', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:10: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'aef53504165ab25019e300c55773dfd83d967d774edd0963bea09814102f5574', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-06-25 17:07:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:15: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:18: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '042da34fb141dba88d674709bfa2e6fd831cde0cab9b2332955f937d8f24076a', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 17:07:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 17:07:20: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2f7e4084f4b2f685af903be82cd3e1a9f74220eafb01bf433996d088be24994', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
