Testing SD card write operations: 2022-06-25 17:07:04
2022-06-25 17:07:04: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-45}
2022-06-25 17:07:06: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-25 17:07:06: {'ssid':'B31', 'bssid':'71d9fabb2160b39c918100ec08aac19012ba3967cfe851ddd414045fec36e17f', 'sec':5, 'channel':1, 'rssi':-88}
2022-06-25 17:07:06: {'ssid':'B32', 'bssid':'731d9abe6df54c27f070d6e7c7685173e2a46e7ee2cd57466c8434bd944a16fc', 'sec':4, 'channel':1, 'rssi':-88}
2022-06-25 17:07:06: {'ssid':'B33', 'bssid':'7e230282ef84183660d89c844a833cf3815e74ba4af47c51f54574a778f81d84', 'sec':0, 'channel':1, 'rssi':-89}
2022-06-25 17:07:08: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 17:07:10: {'ssid':'B34', 'bssid':'02030512e75d4659384e474369e32ae066a4a79fadac201f20a0fced2bf1e8aa', 'sec':3, 'channel':6, 'rssi':-91}
2022-06-25 17:07:12: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 17:07:12: {'ssid':'Isma\xebl aymen dz', 'bssid':'e807e661f3d2bb7614ca7f536bdb7707754ec48e44ccb402270f59ce3fb1f666', 'sec':3, 'channel':11, 'rssi':-95}
2022-06-25 17:07:13: {'ssid':'B30', 'bssid':'d71988af373671e688f78a352c0ca8a4ad910301f1dbf545c87f084e5aee37a7', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-25 17:07:13: {'ssid':'B36', 'bssid':'01378a51bc120700d86f9a89057e2acde6169dc50161a9b802de23cd3f0c3c2a', 'sec':5, 'channel':8, 'rssi':-87}
2022-06-25 17:07:13: {'ssid':'B37', 'bssid':'7d1ade457b32bf0feff1b9d1e01e3c4bf3e0e4c7dd6d31f14ff6ea8f24dd66e2', 'sec':4, 'channel':11, 'rssi':-95}
