Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
14:23:00,26,3,b'725cd7c02492',-72,,3,64,12,3
14:23:01,,3,b'df0951515e0b',-75,,3,64,,3
14:23:01,,3,b'c4e2093b37a5',-92,,3,64,,3
14:23:02,2,3,b'4427f3487609',-91,XiaomiWatchS1Active 7609,3,64,,3
14:23:03,2,3,b'7ad9cfa25ad9',-88,,3,64,,3
14:23:04,26,3,b'725cd7c02492',-68,,3,64,12,3
14:23:05,26,3,b'620eed56af49',-87,,3,64,7,3
14:23:05,26,3,b'725cd7c02492',-71,,3,64,12,3
14:23:06,26,3,b'725cd7c02492',-74,,3,64,12,3
14:23:07,,3,b'df0951515e0b',-67,,3,64,,3
14:23:08,26,3,b'756f2e5cdb0a',-91,,3,64,8,3
14:23:08,26,3,b'4f553eb9c674',-93,,3,64,24,3
14:23:09,2,3,b'4427f3487609',-77,XiaomiWatchS1Active 7609,3,64,,3
14:23:10,2,3,b'7ad9cfa25ad9',-86,,3,64,,3
14:23:11,,3,b'e71c69d6edcc',-87,,3,64,,3
14:23:12,,3,b'c2e7f2e55d04',-60,,3,64,,3
14:23:12,2,3,b'7ad9cfa25ad9',-90,,3,64,,3
14:23:13,26,3,b'4f553eb9c674',-83,,3,64,24,3
14:23:14,26,3,b'756f2e5cdb0a',-83,,3,64,8,3
14:23:15,26,3,b'51ff66e2386f',-83,,3,64,12,3
14:23:16,26,3,b'465b128416ab',-68,,3,64,7,3
14:23:16,2,3,b'4427f3487609',-73,XiaomiWatchS1Active 7609,3,64,,3
14:23:17,2,3,b'4a09789763c2',-85,,3,64,,3
14:23:18,26,3,b'4f553eb9c674',-67,,3,64,24,3
14:23:19,26,3,b'620eed56af49',-74,,3,64,7,3
14:23:19,26,3,b'620eed56af49',-73,,3,64,,3
14:23:20,2,3,b'4a09789763c2',-90,,3,64,,3
14:23:21,26,3,b'465b128416ab',-74,,3,64,7,3
14:23:22,26,3,b'51ff66e2386f',-75,,3,64,12,3
14:23:23,26,3,b'465b128416ab',-78,,3,64,7,3
14:23:23,26,3,b'620eed56af49',-78,,3,64,,3
14:23:24,26,3,b'620eed56af49',-80,,3,64,,3
14:23:25,26,3,b'620eed56af49',-81,,3,64,,3
14:23:26,26,3,b'620eed56af49',-75,,3,64,,3
14:23:27,26,3,b'756f2e5cdb0a',-72,,3,64,,3
14:23:27,26,3,b'725cd7c02492',-71,,3,64,12,3
14:23:28,26,3,b'756f2e5cdb0a',-69,,3,64,,3
14:23:29,26,3,b'725cd7c02492',-68,,3,64,12,3
14:23:30,26,3,b'756f2e5cdb0a',-66,,3,64,,3
14:23:31,26,3,b'756f2e5cdb0a',-68,,3,64,,3
14:23:31,26,3,b'725cd7c02492',-65,,3,64,12,3
14:23:32,26,3,b'620eed56af49',-77,,3,64,7,3
14:23:33,26,3,b'465b128416ab',-81,,3,64,7,3
14:23:34,,3,b'def855965ff7',-82,,3,64,,3
14:23:34,2,3,b'4427f3487609',-65,XiaomiWatchS1Active 7609,3,64,,3
14:23:35,26,3,b'756f2e5cdb0a',-75,,3,64,,3
14:23:36,26,3,b'465b128416ab',-89,,3,64,7,3
14:23:37,2,3,b'4a09789763c2',-94,,3,64,,3
14:23:38,2,3,b'4a09789763c2',-91,,3,64,,3
14:23:38,26,3,b'725cd7c02492',-72,,3,64,12,3
14:23:39,26,3,b'4f553eb9c674',-83,,3,64,24,3
14:23:40,26,3,b'4f553eb9c674',-77,,3,64,24,3
14:23:41,26,3,b'756f2e5cdb0a',-73,,3,64,,3
14:23:42,26,3,b'756f2e5cdb0a',-71,,3,64,,3
14:23:42,26,3,b'756f2e5cdb0a',-73,,3,64,,3
14:23:43,26,3,b'620eed56af49',-87,,3,64,7,3
