Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:23:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'daea65da5da116f72fc87d97a41d4903fc50846fa27e8dda32d7d909ee42708a', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '2bd7f7956d084a84323f78bdee100f0604e79944e24a170a318b950636694eb1', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:02: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'b9895e5b31b1f68d32f25078dd4f10e700dd29a39a672bff40fc15c09300b7c9', 'rssi': -91, 'name': 'BB40', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:03: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'a6dea932949b5b75ce25736f4ff71b08e81b775a6f87bc7e98f41de1f6456c33', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5b0e05ae7ad732317b93c85b00eeb9dd8029239708f52447f4932c7fd587407', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-06-25 14:23:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e1b5a6ed3c8f2b33d3024ab64bab4fb4bc08c25166fdbeee2155c13073f51888', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 14:23:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'daea65da5da116f72fc87d97a41d4903fc50846fa27e8dda32d7d909ee42708a', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 14:23:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7b0e244396b4f4e7809c280405471d0d4c784a6db03c2ebb1a24776a95f7d073', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
