Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:23:01: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-54}
2022-06-25 14:23:03: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:23:05: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-62}
2022-06-25 14:23:07: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:23:09: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 14:23:11: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:23:14: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:23:16: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-47}
2022-06-25 14:23:18: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-48}
2022-06-25 14:23:20: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-42}
2022-06-25 14:23:22: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:23:23: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:23:25: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-52}
2022-06-25 14:23:27: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:23:29: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-25 14:23:31: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-54}
2022-06-25 14:23:33: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-25 14:23:35: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-25 14:23:36: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-50}
2022-06-25 14:23:38: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-41}
2022-06-25 14:23:40: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:23:40: {'ssid':'FreeWifi_secure', 'bssid':b'\xe4\x9e\x12n\xf1\xe6', 'sec':5, 'channel':6, 'rssi':-87}
2022-06-25 14:23:42: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:23:44: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-51}
2022-06-25 14:23:46: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-46}
2022-06-25 14:23:47: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-49}
2022-06-25 14:23:49: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-25 14:23:51: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-43}
2022-06-25 14:23:51: {'ssid':'Bbox-906CE4C1', 'bssid':b'D\xd4T~\xfa\xc0', 'sec':3, 'channel':1, 'rssi':-94}
2022-06-25 14:23:53: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-25 14:23:53: {'ssid':'Freebox-40EAA1', 'bssid':b'\xe4\x9e\x12n\xf1\xe4', 'sec':3, 'channel':6, 'rssi':-83}
2022-06-25 14:23:55: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-25 14:23:57: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-37}
2022-06-25 14:23:59: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:24:00: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-16}
2022-06-25 14:24:02: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-25 14:24:02: {'ssid':'AndroidAP9700', 'bssid':b'\xe2h\xfab\xa5"', 'sec':3, 'channel':11, 'rssi':-91}
2022-06-25 14:24:04: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-17}
