Time,ssid,bssid,sec,channel,rssi
20:06:26,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-37
20:06:26,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-72
20:06:28,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:06:28,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-77
20:06:30,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:06:31,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-38
20:06:31,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-72
20:06:33,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-30
20:06:33,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:06:35,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-43
20:06:37,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-44
20:06:39,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-71
20:06:41,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-72
20:06:43,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-70
20:06:45,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-44
20:06:45,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-80
20:06:46,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-32
20:06:46,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-73
20:06:48,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-34
20:06:48,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-64
20:06:50,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-78
20:06:52,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-35
20:06:52,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-65
20:06:54,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-37
20:06:56,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-68
20:06:58,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:00,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:01,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-40
20:07:01,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-64
20:07:03,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-49
20:07:03,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:05,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:07:05,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-68
20:07:07,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-66
20:07:09,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-66
20:07:11,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-68
20:07:13,B52,acae360e803b5d3a9ea050c521d560e8c2f8fe39fb6e444fc7a29e674f3de1ec,3,11,-95
20:07:16,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-50
20:07:16,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-62
20:07:18,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-72
20:07:20,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-65
20:07:22,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-66
20:07:24,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:07:26,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-74
20:07:29,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:33,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:07:33,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-69
20:07:35,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-50
20:07:35,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-71
20:07:37,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-43
20:07:37,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:37,B52,acae360e803b5d3a9ea050c521d560e8c2f8fe39fb6e444fc7a29e674f3de1ec,3,11,-90
20:07:39,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-75
20:07:41,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-61
20:07:43,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-49
20:07:43,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-68
20:07:44,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-39
20:07:44,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-60
20:07:46,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-40
20:07:46,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-64
20:07:48,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-45
20:07:48,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-63
20:07:48,B53,5b9680348e61cb6a2383bd4a92aa156fa30a9daf7a2b47525c224b1be85ca6db,0,6,-94
20:07:50,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-64
20:07:52,B50,fa75fc5c57a00444a3c09633a52e235201461030cd9dacfd4267695e7fb4ef18,3,6,-47
20:07:52,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-67
20:07:54,B51,4725e5a8f0b21ddf214189ac61841bccd2974a672664464a88adb8ed45b16964,3,6,-71
