Testing SD card write operations: 2022-04-10 15:30:00
2022-04-10 15:30:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'78b2290f41a4', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ef1f148aefd0', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:09: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ef1f148aefd0', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:11: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ef1f148aefd0', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:12: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ef1f148aefd0', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:14: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'c7c7562e19f8', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:14: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'6a0e96821e26', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fde130010821', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e63aa399c9a0', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:26: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ecf0a534353e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'ecf0a534353e', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:31: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'5b8309f7fbbc', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-04-10 15:30:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'68db6f9537a1', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'745ede5d86c6', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-04-10 15:30:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'789fdc579b21', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-04-10 15:30:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'568957f568b3', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
