Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '47bf21ac7f3831b5c1faebf594a3a5cd53f3339d743a1c8ccab53eb6a6769fe9', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ff8ad62b4909bdc7444aa7220779ea7bb71172386180dbaa9a3fb8fe09b2e9cf', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ec7a9ee1d17eded4eb0a90107fd475e3366df28bbeb1cf35b9caad66b40558b', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c984211645d13a02209f22c0fdf221edbb58f7a445df7b16e59fe777800aa7ad', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:29: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '694e12c00621d02cd54da8560f09c99934061de698c55bc46184c654a5ec5f0b', 'rssi': -88, 'name': 'BB60', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:13:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '47bf21ac7f3831b5c1faebf594a3a5cd53f3339d743a1c8ccab53eb6a6769fe9', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '03222b9979b93db8aec8e95bbcc5720ca2d9dc097410de103382a955127bd406', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:13:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6f7b9a446524d5b5f9195f65725f6690ea3ae24e52070a89d704e10ade9764b5', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:13:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eff892fc137d4106c24145ab5537c409fe1702244cd7ac70a318f83bee3c442d', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
