Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:13:22: {'ssid':'B60', 'bssid':'d60593b3feeaaa4ff90e33ae04ad735577a50df9a8a3bef12f464f6e', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-07 09:13:22: {'ssid':'B61', 'bssid':'41268a8f7679e95571118b9e3a09535e12c980994cde2fd734d4b6e7', 'sec':3, 'channel':11, 'rssi':-96}
2022-07-07 09:13:24: {'ssid':'B60', 'bssid':'d60593b3feeaaa4ff90e33ae04ad735577a50df9a8a3bef12f464f6e', 'sec':3, 'channel':6, 'rssi':-29}
2022-07-07 09:13:24: {'ssid':'B62', 'bssid':'339f92c727797a72e130aae58444e724bb06b305c988d964963da8ef', 'sec':3, 'channel':11, 'rssi':-79}
2022-07-07 09:13:26: {'ssid':'B60', 'bssid':'d60593b3feeaaa4ff90e33ae04ad735577a50df9a8a3bef12f464f6e', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-07 09:13:26: {'ssid':'B63', 'bssid':'0e9a135ff46aa33fbee6abf81a790ff9abf685bb75fa9db865baac6f', 'sec':3, 'channel':1, 'rssi':-72}
2022-07-07 09:13:26: {'ssid':'B64', 'bssid':'5b8f9f060a54b5dcf26308051859f7be14bb49e4304adf9c9830c804', 'sec':3, 'channel':6, 'rssi':-84}
2022-07-07 09:13:26: {'ssid':'B65', 'bssid':'31fb07e021ffa8ab0bc502a0f2e70e15d43fb5518c48c37d070dfa80', 'sec':4, 'channel':1, 'rssi':-88}
2022-07-07 09:13:32: {'ssid':'B65', 'bssid':'31fb07e021ffa8ab0bc502a0f2e70e15d43fb5518c48c37d070dfa80', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-07 09:13:34: {'ssid':'B66', 'bssid':'721b3e2ed4f5c9b3ca276d71ab89ac51067233efd51cd5b8e40b34ce', 'sec':5, 'channel':11, 'rssi':-96}
2022-07-07 09:13:35: {'ssid':'B67', 'bssid':'a3229f5c90057675e591fcffe7fba0e107a3fdaaf2b3ff277a915be5', 'sec':4, 'channel':1, 'rssi':-93}
2022-07-07 09:13:37: {'ssid':'B68', 'bssid':'7042d2c197e412f9213b4d23ef2050ca1708fc80fb12d51ce1fc0915', 'sec':4, 'channel':3, 'rssi':-78}
2022-07-07 09:13:37: {'ssid':'B65', 'bssid':'31fb07e021ffa8ab0bc502a0f2e70e15d43fb5518c48c37d070dfa80', 'sec':4, 'channel':1, 'rssi':-89}
2022-07-07 09:13:37: {'ssid':'B69', 'bssid':'f7d00ea5eeb27544a2afe3da2acb4b176637c8a388566f6d385bba51', 'sec':4, 'channel':6, 'rssi':-89}
2022-07-07 09:13:37: {'ssid':'B610', 'bssid':'1c696e65466f803de756ea83815be5613c1640688239affd876dcfe7', 'sec':5, 'channel':6, 'rssi':-91}
2022-07-07 09:13:37: {'ssid':'B611', 'bssid':'2e79a7e815162069200fbdc85b36c939234606c3d22e5bf67a71a9ce', 'sec':2, 'channel':11, 'rssi':-93}
2022-07-07 09:13:39: {'ssid':'B68', 'bssid':'7042d2c197e412f9213b4d23ef2050ca1708fc80fb12d51ce1fc0915', 'sec':4, 'channel':3, 'rssi':-80}
2022-07-07 09:13:39: {'ssid':'B66', 'bssid':'98cd6c2dc2517959123c5306cb0392e6943780ee841bd59ca427cfbc', 'sec':5, 'channel':11, 'rssi':-89}
2022-07-07 09:13:39: {'ssid':'B66', 'bssid':'fcfadc9a4ce171faa0f5cb85952b44706b5bac16e81248b413964878', 'sec':5, 'channel':11, 'rssi':-93}
2022-07-07 09:13:39: {'ssid':'B611', 'bssid':'2e79a7e815162069200fbdc85b36c939234606c3d22e5bf67a71a9ce', 'sec':2, 'channel':11, 'rssi':-96}
2022-07-07 09:13:41: {'ssid':'B68', 'bssid':'7042d2c197e412f9213b4d23ef2050ca1708fc80fb12d51ce1fc0915', 'sec':4, 'channel':3, 'rssi':-74}
