Testing SD card write operations: 2022-07-07 18:45:07
2022-07-07 18:45:08: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '15.12683', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.66545'}
2022-07-07 18:45:09: {'Acceleration': '(-0.319458, -0.5010986, 0.8037109)', 'Roll': '22.79513', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.88964'}
2022-07-07 18:45:10: {'Acceleration': '(-0.348877, -0.4960938, 0.8167725)', 'Roll': '23.18722', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.17552'}
2022-07-07 18:45:11: {'Acceleration': '(-0.3980713, -0.4248047, 0.7841797)', 'Roll': '26.91361', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '27.25055'}
2022-07-07 18:45:12: {'Acceleration': '(-0.3831787, -0.5124512, 0.7955322)', 'Roll': '25.71841', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.46908'}
2022-07-07 18:45:13: {'Acceleration': '(-0.4135742, -0.6055908, 0.8109131)', 'Roll': '27.25783', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '33.09746'}
2022-07-07 18:45:14: {'Acceleration': '(-0.4123535, -0.5231934, 0.8275146)', 'Roll': '26.48724', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.50474'}
2022-07-07 18:45:14: {'Acceleration': '(-0.3435059, -0.5577393, 0.8031006)', 'Roll': '23.15758', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '32.55928'}
2022-07-07 18:45:15: {'Acceleration': '(-0.3464355, -0.5428467, 0.7694092)', 'Roll': '24.24021', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '32.75445'}
2022-07-07 18:45:16: {'Acceleration': '(-0.3695068, -0.5238037, 0.8040771)', 'Roll': '24.7378', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.70734'}
2022-07-07 18:45:17: {'Acceleration': '(-0.3922119, -0.5551758, 0.8106689)', 'Roll': '25.26341', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.77141'}
2022-07-07 18:45:18: {'Acceleration': '(-0.4436035, -0.5126953, 0.7716064)', 'Roll': '29.89498', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.94367'}
2022-07-07 18:45:19: {'Acceleration': '(-0.4311523, -0.4372559, 0.7600098)', 'Roll': '29.56617', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '26.94853'}
2022-07-07 18:45:20: {'Acceleration': '(-0.4301758, -0.4985352, 0.8190918)', 'Roll': '28.74323', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '28.08679'}
2022-07-07 18:45:20: {'Acceleration': '(-0.4285889, -0.4866943, 0.7851563)', 'Roll': '28.62855', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '28.55003'}
2022-07-07 18:45:21: {'Acceleration': '(-0.4346924, -0.5527344, 0.7541504)', 'Roll': '29.95915', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '32.38685'}
2022-07-07 18:45:22: {'Acceleration': '(-0.4278564, -0.560791, 0.7449951)', 'Roll': '29.86909', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '33.07334'}
2022-07-07 18:45:23: {'Acceleration': '(-0.4211426, -0.5371094, 0.7437744)', 'Roll': '29.73273', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '32.30107'}
2022-07-07 18:45:24: {'Acceleration': '(-0.3968506, -0.5576172, 0.7779541)', 'Roll': '27.02707', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.55808'}
2022-07-07 18:45:25: {'Acceleration': '(-0.4219971, -0.5469971, 0.7510986)', 'Roll': '29.32901', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '32.41208'}
2022-07-07 18:45:26: {'Acceleration': '(-0.4040527, -0.5528564, 0.7670898)', 'Roll': '28.07438', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '33.21517'}
2022-07-07 18:45:26: {'Acceleration': '(-0.4216309, -0.5299072, 0.7565918)', 'Roll': '29.02627', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '31.19143'}
2022-07-07 18:45:27: {'Acceleration': '(-0.317749, -0.5473633, 0.762207)', 'Roll': '22.63029', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '33.53795'}
2022-07-07 18:45:28: {'Acceleration': '(-0.3375244, -0.5275879, 0.7824707)', 'Roll': '23.3333', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '31.47174'}
2022-07-07 18:45:29: {'Acceleration': '(-0.3834229, -0.5164795, 0.8048096)', 'Roll': '24.89232', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '30.09858'}
2022-07-07 18:45:30: {'Acceleration': '(-0.3583984, -0.5270996, 0.7884521)', 'Roll': '24.32057', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.02249'}
2022-07-07 18:45:31: {'Acceleration': '(-0.3824463, -0.4993896, 0.7938232)', 'Roll': '25.72373', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.47907'}
2022-07-07 18:45:32: {'Acceleration': '(-0.3765869, -0.5170898, 0.7823486)', 'Roll': '23.6531', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '30.77173'}
2022-07-07 18:45:32: {'Acceleration': '(-0.3856201, -0.5125732, 0.7858887)', 'Roll': '25.99265', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.57699'}
2022-07-07 18:45:33: {'Acceleration': '(-0.3756104, -0.5195313, 0.7883301)', 'Roll': '25.62675', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.87895'}
2022-07-07 18:45:34: {'Acceleration': '(-0.3692627, -0.5310059, 0.786377)', 'Roll': '25.08794', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.44792'}
2022-07-07 18:45:35: {'Acceleration': '(-0.3964844, -0.4586182, 0.9074707)', 'Roll': '23.60107', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '24.84924'}
2022-07-07 18:45:36: {'Acceleration': '(-0.3553467, -0.524292, 0.8120117)', 'Roll': '23.47407', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.13678'}
2022-07-07 18:45:37: {'Acceleration': '(-0.3848877, -0.5250244, 0.7614746)', 'Roll': '26.81434', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '31.60588'}
2022-07-07 18:45:38: {'Acceleration': '(-0.3791504, -0.5831299, 0.7340088)', 'Roll': '27.3185', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '35.21598'}
2022-07-07 18:45:39: {'Acceleration': '(-0.3759766, -0.6029053, 0.7303467)', 'Roll': '27.10713', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '36.20808'}
2022-07-07 18:45:39: {'Acceleration': '(-0.5018311, -0.5374756, 0.6722412)', 'Roll': '29.12001', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '33.66973'}
2022-07-07 18:45:40: {'Acceleration': '(-0.2218018, -0.5892334, 0.7612305)', 'Roll': '16.24468', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '35.07196'}
2022-07-07 18:45:41: {'Acceleration': '(-0.3510742, -0.6489258, 0.7696533)', 'Roll': '24.57837', 'battery_voltage': 4.496022, 'battery_percentage': 82.93546, 'Pitch': '36.10143'}
2022-07-07 18:45:42: {'Acceleration': '(-0.27771, -0.5623779, 0.854126)', 'Roll': '14.92843', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '31.92807'}
2022-07-07 18:45:43: {'Acceleration': '(-0.5178223, -0.5491943, 0.8094482)', 'Roll': '32.60796', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '29.58912'}
2022-07-07 18:45:44: {'Acceleration': '(-0.4111328, -0.5650635, 0.8787842)', 'Roll': '26.66063', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.47043'}
2022-07-07 18:45:45: {'Acceleration': '(-0.6043701, -0.4611816, 0.8231201)', 'Roll': '32.01531', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '25.41095'}
2022-07-07 18:45:45: {'Acceleration': '(-0.3841553, -0.4678955, 0.7011719)', 'Roll': '28.71728', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '29.80979'}
2022-07-07 18:45:46: {'Acceleration': '(-0.3474121, -0.5096436, 0.8653564)', 'Roll': '24.10105', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '30.49092'}
2022-07-07 18:45:47: {'Acceleration': '(-0.3171387, -0.5245361, 0.6446533)', 'Roll': '26.80653', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '34.44898'}
2022-07-07 18:45:48: {'Acceleration': '(-0.4250488, -0.5455322, 0.7823486)', 'Roll': '28.51517', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.45163'}
2022-07-07 18:45:49: {'Acceleration': '(-0.4764404, -0.6080322, 0.8258057)', 'Roll': '32.49846', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '33.29854'}
2022-07-07 18:45:50: {'Acceleration': '(-0.447998, -0.6343994, 0.7456055)', 'Roll': '32.71184', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '35.07675'}
2022-07-07 18:45:51: {'Acceleration': '(-0.447998, -0.5568848, 0.614624)', 'Roll': '36.08822', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '34.87731'}
2022-07-07 18:45:52: {'Acceleration': '(-0.5257568, -0.5587158, 0.6856689)', 'Roll': '35.77494', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.43245'}
2022-07-07 18:45:52: {'Acceleration': '(-0.5557861, -0.5214844, 0.6834717)', 'Roll': '39.11735', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '30.62437'}
2022-07-07 18:45:53: {'Acceleration': '(-0.5294189, -0.5895996, 0.776123)', 'Roll': '34.96473', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '32.82726'}
2022-07-07 18:45:54: {'Acceleration': '(-0.5452881, -0.5449219, 0.647583)', 'Roll': '41.54542', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '33.0782'}
2022-07-07 18:45:55: {'Acceleration': '(-0.4833984, -0.5400391, 0.7590332)', 'Roll': '32.49146', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '30.96862'}
