Testing SD card write operations: 2022-07-07 18:45:01
2022-07-07 18:45:02: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-07 18:45:02: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-59}
2022-07-07 18:45:02: {'ssid':'B72', 'bssid':'0f8d8d04178b478b0d49b71b9f1ef5d2c7c8fb37878af127f0af5223fd08dd3c', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-07 18:45:04: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-28}
2022-07-07 18:45:06: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-07 18:45:08: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-07 18:45:08: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-64}
2022-07-07 18:45:10: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-07 18:45:10: {'ssid':'B71', 'bssid':'b9f879d0b18705803765f722696431a091fed0cc280d13eded0a4cd3ca713e31', 'sec':3, 'channel':11, 'rssi':-56}
2022-07-07 18:45:11: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-20}
2022-07-07 18:45:13: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-27}
2022-07-07 18:45:15: {'ssid':'B70', 'bssid':'7be9a517f3158d021dc3f94a3bf6cf5fd4759939b2439c0181baefb89e522d64', 'sec':3, 'channel':6, 'rssi':-31}
