Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:00:51: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-2.512936', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.176381'}
2022-09-11 17:00:52: {'Acceleration': '(0.1577148, -0.09790039, 0.9699707)', 'Roll': '-9.235331', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.689203'}
2022-09-11 17:00:53: {'Acceleration': '(-0.1968994, -0.08837891, 1.269043)', 'Roll': '8.81945', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '3.936817'}
2022-09-11 17:00:53: {'Acceleration': '(-0.2384033, -0.1337891, 1.019287)', 'Roll': '13.16439', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '7.438457'}
2022-09-11 17:00:54: {'Acceleration': '(-0.05358887, -0.265625, 1.199341)', 'Roll': '3.546926', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '12.3094'}
2022-09-11 17:00:55: {'Acceleration': '(-0.159668, -0.1312256, 0.9567871)', 'Roll': '9.974401', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.828732'}
2022-09-11 17:00:56: {'Acceleration': '(-0.1914063, -0.1252441, 1.017456)', 'Roll': '10.6541', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.897745'}
2022-09-11 17:00:57: {'Acceleration': '(-0.2043457, -0.1341553, 0.9830322)', 'Roll': '11.743', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.607628'}
2022-09-11 17:00:58: {'Acceleration': '(-0.2242432, -0.1494141, 0.932373)', 'Roll': '13.52325', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.85596'}
2022-09-11 17:00:59: {'Acceleration': '(-0.2086182, -0.08251953, 1.029175)', 'Roll': '11.42287', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.369467'}
2022-09-11 17:00:59: {'Acceleration': '(-0.2463379, -0.09350586, 1.050903)', 'Roll': '13.19229', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '4.951088'}
2022-09-11 17:01:00: {'Acceleration': '(-0.1660156, -0.09448242, 0.970459)', 'Roll': '9.707573', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.481571'}
2022-09-11 17:01:01: {'Acceleration': '(-0.1712646, -0.0769043, 1.001587)', 'Roll': '9.703349', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.322815'}
2022-09-11 17:01:02: {'Acceleration': '(-0.1184082, -0.03173828, 1.041504)', 'Roll': '6.486087', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '1.048285'}
2022-09-11 17:01:03: {'Acceleration': '(-0.09594727, 0.006225586, 1.020996)', 'Roll': '5.255426', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.1914826'}
2022-09-11 17:01:04: {'Acceleration': '(0.007080078, 0.08190918, 0.9539795)', 'Roll': '-0.42522', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.907275'}
2022-09-11 17:01:05: {'Acceleration': '(-0.175293, 0.03063965, 1.027222)', 'Roll': '9.684106', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.684163'}
2022-09-11 17:01:06: {'Acceleration': '(-0.09667969, -0.02893066, 1.037354)', 'Roll': '5.324494', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.3982973'}
2022-09-11 17:01:06: {'Acceleration': '(-0.0802002, -0.03405762, 1.019165)', 'Roll': '4.49945', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '1.908057'}
2022-09-11 17:01:07: {'Acceleration': '(-0.05761719, -0.06323242, 1.005127)', 'Roll': '2.739535', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.322608'}
2022-09-11 17:01:08: {'Acceleration': '(-0.1077881, -0.09204102, 1.015503)', 'Roll': '6.058835', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.150131'}
2022-09-11 17:01:09: {'Acceleration': '(-0.1008301, -0.1368408, 1.078979)', 'Roll': '4.052717', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.991134'}
2022-09-11 17:01:10: {'Acceleration': '(-0.05773926, -0.102417, 0.9735107)', 'Roll': '3.394256', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.82047'}
2022-09-11 17:01:11: {'Acceleration': '(-0.05712891, -0.1595459, 0.9793701)', 'Roll': '3.338411', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '9.237152'}
2022-09-11 17:01:12: {'Acceleration': '(-0.05737305, -0.1191406, 1.091309)', 'Roll': '3.009424', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.521356'}
2022-09-11 17:01:13: {'Acceleration': '(-0.006347656, -0.1115723, 0.9438477)', 'Roll': '0.3853253', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '6.741499'}
2022-09-11 17:01:13: {'Acceleration': '(-0.02648926, -0.1480713, 0.9688721)', 'Roll': '0.3233616', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '7.757997'}
2022-09-11 17:01:14: {'Acceleration': '(-0.02209473, -0.1561279, 0.9956055)', 'Roll': '1.271314', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '8.697277'}
2022-09-11 17:01:15: {'Acceleration': '(-0.06115723, -0.1519775, 0.9626465)', 'Roll': '3.635133', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.953749'}
2022-09-11 17:01:16: {'Acceleration': '(-0.09375, -0.1583252, 0.9836426)', 'Roll': '5.68632', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.67688'}
