Testing SD card write operations: 2022-09-11 17:00:44
2022-09-11 17:00:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '44721c9f21dab6e6f5173f2328f48cb5cf14061379d198a14afd6c7e3c1769b2', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-11 17:00:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd5f9f1e970e6381e35cae0d67eeadae955b796ea5d70caa553eb88d35bf9568d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
