Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
17:26:00,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:02,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:03,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:05,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:07,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:09,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:11,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:12,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:14,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:16,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:18,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:20,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:21,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:23,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:25,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:27,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:29,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:30,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:32,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:34,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:36,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:38,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:40,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:41,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:43,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:45,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
17:26:47,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:49,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:50,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:52,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:54,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:56,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:58,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
17:26:59,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
17:27:01,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
17:27:03,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
17:27:05,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
17:27:07,7,"b""\x9a\xeeNY\xdb'\xa9\xe6""",864862500,0,73073490,-131,-12.0,7,0,0,14,0,0,0
17:27:09,7,b'',865062500,0,73073490,-131,-12.0,7,0,0,14,0,0,0
