Time,ssid,bssid,sec,channel,rssi
17:26:00,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-51
17:26:00,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-56
17:26:01,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-51
17:26:01,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-56
17:26:03,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-35
17:26:03,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-52
17:26:05,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-31
17:26:05,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-54
17:26:07,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-41
17:26:07,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-57
17:26:08,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-36
17:26:08,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-53
17:26:10,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-33
17:26:10,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-65
17:26:12,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-32
17:26:12,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-51
17:26:14,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-54
17:26:16,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-36
17:26:16,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-56
17:26:18,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-32
17:26:18,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-63
17:26:20,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-34
17:26:20,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-62
17:26:21,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-33
17:26:21,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-58
17:26:23,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-31
17:26:23,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-65
17:26:25,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-31
17:26:25,Honor 9,b'\x94\x0ek\xbf_\xe1',3,11,-85
17:26:27,iPhone,b'\xce\xb1R\xa8f\xb4',3,6,-41
