Testing SD card write operations: 2022-05-28 17:26:05
2022-05-28 17:26:06: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-48.00776', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-9.811004'}
2022-05-28 17:26:07: {'Acceleration': '(0.6990967, 0.2355957, 0.6708984)', 'Roll': '-46.17914', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-13.66618'}
2022-05-28 17:26:08: {'Acceleration': '(0.7177734, 0.2736816, 0.675415)', 'Roll': '-46.74148', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-15.5191'}
2022-05-28 17:26:08: {'Acceleration': '(0.7629395, 0.322998, 0.6842041)', 'Roll': '-48.41543', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-17.68708'}
2022-05-28 17:26:09: {'Acceleration': '(0.7957764, 0.2816162, 0.6019287)', 'Roll': '-49.49285', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-11.89438'}
2022-05-28 17:26:10: {'Acceleration': '(0.7974854, 0.1942139, 0.6766357)', 'Roll': '-49.68667', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-10.51989'}
2022-05-28 17:26:11: {'Acceleration': '(0.8410645, 0.2578125, 0.5531006)', 'Roll': '-56.67029', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-12.2834'}
2022-05-28 17:26:12: {'Acceleration': '(0.7138672, 0.28479, 0.5174561)', 'Roll': '-54.37695', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-20.3899'}
2022-05-28 17:26:13: {'Acceleration': '(0.7542725, 0.4080811, 0.5959473)', 'Roll': '-52.27565', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-18.73425'}
2022-05-28 17:26:13: {'Acceleration': '(0.7825928, 0.2208252, 0.657959)', 'Roll': '-49.94481', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-12.18759'}
2022-05-28 17:26:14: {'Acceleration': '(0.7243652, 0.3582764, 0.6376953)', 'Roll': '-47.80304', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-18.68545'}
2022-05-28 17:26:15: {'Acceleration': '(0.7288818, 0.3623047, 0.5970459)', 'Roll': '-50.67821', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-21.03337'}
2022-05-28 17:26:16: {'Acceleration': '(0.6717529, 0.3782959, 0.5637207)', 'Roll': '-49.99734', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-23.33436'}
2022-05-28 17:26:17: {'Acceleration': '(0.6679688, 0.3519287, 0.5734863)', 'Roll': '-49.35217', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-21.78888'}
2022-05-28 17:26:18: {'Acceleration': '(0.651123, 0.2437744, 0.6766357)', 'Roll': '-43.06009', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-14.87435'}
2022-05-28 17:26:19: {'Acceleration': '(0.697998, 0.2387695, 0.6982422)', 'Roll': '-43.43254', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.86896'}
2022-05-28 17:26:19: {'Acceleration': '(0.769165, 0.2694092, 0.7175293)', 'Roll': '-46.72483', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-13.95646'}
2022-05-28 17:26:20: {'Acceleration': '(0.6831055, 0.1906738, 0.6108398)', 'Roll': '-48.19659', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-11.75394'}
2022-05-28 17:26:21: {'Acceleration': '(0.6243896, 0.3000488, 0.6721191)', 'Roll': '-42.89167', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-18.11124'}
2022-05-28 17:26:22: {'Acceleration': '(0.723999, 0.2492676, 0.6190186)', 'Roll': '-49.46958', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.66453'}
2022-05-28 17:26:23: {'Acceleration': '(0.7042236, 0.2391357, 0.6312256)', 'Roll': '-47.32941', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-14.79108'}
2022-05-28 17:26:24: {'Acceleration': '(0.7663574, 0.1966553, 0.5802002)', 'Roll': '-53.8753', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-10.43601'}
2022-05-28 17:26:24: {'Acceleration': '(0.8132324, 0.15625, 0.6534424)', 'Roll': '-50.5402', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-7.834848'}
