Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
13:20:44,"(0.0, 0.0, 0.0)",-4.800716,4.455878,78.9211,32.66965
13:20:45,"(0.04821777, -0.5516357, 0.8419189)",-3.277822,4.450861,78.41933,33.49212
13:20:46,"(0.03808594, -0.5228271, 0.8594971)",-2.241256,4.460896,79.42288,31.72831
13:20:46,"(0.03295898, -0.4489746, 0.9475098)",-1.992222,4.455878,78.9211,25.34039
13:20:47,"(0.0579834, -0.2399902, 0.9854736)",-2.794268,4.450861,78.41933,13.64472
13:20:48,"(0.08959961, -0.2581787, 0.9555664)",-5.284168,4.455878,78.9211,15.05807
13:20:49,"(0.1033936, -0.2044678, 0.9752197)",-6.051935,4.455878,78.9211,11.77715
13:20:50,"(0.1451416, -0.2559814, 0.9586182)",-8.830574,4.450861,78.41933,14.78153
13:20:51,"(0.1373291, -0.2590332, 0.9737549)",-8.027508,4.450861,78.41933,14.75697
13:20:51,"(0.06896973, -0.3723145, 0.9359131)",-4.214648,4.455878,78.9211,21.50059
13:20:52,"(0.078125, -0.3525391, 0.9401855)",-4.750097,4.460896,79.42288,20.48969
13:20:53,"(0.07128906, -0.3392334, 0.9473877)",-4.303285,4.455878,78.9211,19.48831
13:20:54,"(0.06726074, -0.3311768, 0.9473877)",-4.034019,4.460896,79.42288,19.10849
13:20:55,"(0.07995605, -0.3272705, 0.9533691)",-4.793997,4.460896,79.42288,18.94281
13:20:56,"(0.07275391, -0.319458, 0.9631348)",-4.319842,4.460896,79.42288,18.06301
13:20:57,"(0.1026611, -0.3215332, 0.9174805)",-6.401246,4.460896,79.42288,18.33221
13:20:58,"(0.0559082, -0.3530273, 0.9506836)",-3.365598,4.455878,78.9211,20.67008
13:20:59,"(0.04577637, -0.366333, 0.942749)",-3.024528,4.455878,78.9211,21.37723
13:20:59,"(0.05883789, -0.3496094, 0.949707)",-3.545156,4.460896,79.42288,20.27708
13:21:00,"(0.07922363, -0.300415, 0.97229)",-4.658254,4.460896,79.42288,17.40878
13:21:01,"(0.0645752, -0.3312988, 0.9484863)",-3.894822,4.460896,79.42288,19.2127
13:21:02,"(0.06298828, -0.3255615, 0.9609375)",-3.760306,4.460896,79.42288,18.87981
13:21:03,"(0.06616211, -0.3226318, 0.9528809)",-4.015713,4.460896,79.42288,18.82021
13:21:04,"(0.06591797, -0.3134766, 0.9622803)",-3.918744,4.460896,79.42288,18.0043
13:21:05,"(0.07189941, -0.3189697, 0.9586182)",-4.289335,4.460896,79.42288,18.35621
13:21:06,"(0.08166504, -0.3081055, 0.9555664)",-4.884768,4.460896,79.42288,17.8102
13:21:06,"(0.078125, -0.3122559, 0.958252)",-4.660939,4.465914,79.92471,17.68587
13:21:07,"(0.109375, -0.2929688, 0.9501953)",-6.566298,4.440825,77.41573,17.02994
13:21:08,"(0.09936523, -0.3081055, 0.9550781)",-5.939619,4.455878,78.9211,17.78963
13:21:09,"(0.07971191, -0.3131104, 0.9573975)",-4.759409,4.460896,79.42288,17.9874
13:21:10,"(0.09057617, -0.3082275, 0.9598389)",-5.39081,4.460896,79.42288,17.72928
13:21:11,"(0.07080078, -0.3244629, 0.9482422)",-4.270082,4.465914,79.92471,18.84083
13:21:12,"(0.08190918, -0.3239746, 0.9443359)",-4.957276,4.460896,79.42288,18.57603
13:21:12,"(0.0748291, -0.3175049, 0.9448242)",-4.528314,4.465914,79.92471,18.52072
13:21:13,"(0.01062012, -0.4742432, 0.8782959)",-0.6927713,4.460896,79.42288,27.11452
13:21:14,"(0.05603027, -0.3299561, 0.949707)",-3.457754,4.465914,79.92471,18.97664
13:21:15,"(0.06506348, -0.3128662, 0.9525146)",-3.907636,4.455878,78.9211,18.08789
13:21:16,"(-0.05078125, -0.3920898, 1.03186)",2.817441,4.450861,78.41933,20.86257
13:21:17,"(0.1143799, -0.3270264, 0.944458)",-6.905256,4.455878,78.9211,18.97023
13:21:18,"(0.03320313, -0.4379883, 0.9003906)",-2.111902,4.460896,79.42288,23.15655
13:21:19,"(0.06213379, -0.2987061, 0.9530029)",-3.54542,4.455878,78.9211,18.60825
13:21:19,"(0.1422119, -0.1777344, 0.9853516)",-8.212564,4.465914,79.92471,8.920744
13:21:20,"(0.1157227, -0.553833, 0.7574463)",-9.043747,4.465914,79.92471,37.79795
13:21:21,"(0.03869629, -0.3148193, 0.9619141)",-3.021946,4.460896,79.42288,18.0989
13:21:22,"(-0.005615234, -0.394165, 0.9549561)",0.3369008,4.465914,79.92471,22.18142
13:21:23,"(-0.07226563, -0.4539795, 0.9458008)",2.322036,4.455878,78.9211,27.18089
13:21:24,"(0.04833984, -0.387085, 0.9667969)",-2.862405,4.460896,79.42288,21.79544
13:21:25,"(-0.05944824, -0.4077148, 0.9337158)",3.643016,4.465914,79.92471,23.54642
13:21:25,"(0.02661133, -0.3399658, 0.9602051)",-1.587501,4.455878,78.9211,19.48986
13:21:26,"(0.0246582, -0.3649902, 0.942627)",-1.49846,4.455878,78.9211,21.19952
13:21:27,"(0.01672363, -0.347168, 0.9483643)",-1.01026,4.455878,78.9211,20.1033
13:21:28,"(0.0267334, -0.3431396, 0.9547119)",-1.603951,4.460896,79.42288,19.76215
13:21:29,"(0.01477051, -0.357666, 0.9398193)",-0.900405,4.460896,79.42288,21.2713
13:21:30,"(-0.003295898, -0.3625488, 0.9489746)",0.1989941,4.445842,77.9175,20.90888
13:21:31,"(0.002075195, -0.3608398, 0.9499512)",-0.1256971,4.460896,79.42288,21.07991
13:21:32,"(-0.007324219, -0.3848877, 0.9246826)",-0.03760552,4.460896,79.42288,22.40055
13:21:32,"(0.03637695, -0.4265137, 0.8970947)",-2.322057,4.465914,79.92471,24.58263
