Testing SD card write operations: 2022-08-13 13:20:42
2022-08-13 13:20:44: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '-4.800716', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '32.66965'}
2022-08-13 13:20:45: {'Acceleration': '(0.04821777, -0.5516357, 0.8419189)', 'Roll': '-3.277822', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '33.49212'}
2022-08-13 13:20:46: {'Acceleration': '(0.03808594, -0.5228271, 0.8594971)', 'Roll': '-2.241256', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '31.72831'}
2022-08-13 13:20:46: {'Acceleration': '(0.03295898, -0.4489746, 0.9475098)', 'Roll': '-1.992222', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '25.34039'}
2022-08-13 13:20:47: {'Acceleration': '(0.0579834, -0.2399902, 0.9854736)', 'Roll': '-2.794268', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '13.64472'}
2022-08-13 13:20:48: {'Acceleration': '(0.08959961, -0.2581787, 0.9555664)', 'Roll': '-5.284168', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '15.05807'}
2022-08-13 13:20:49: {'Acceleration': '(0.1033936, -0.2044678, 0.9752197)', 'Roll': '-6.051935', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '11.77715'}
2022-08-13 13:20:50: {'Acceleration': '(0.1451416, -0.2559814, 0.9586182)', 'Roll': '-8.830574', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '14.78153'}
2022-08-13 13:20:51: {'Acceleration': '(0.1373291, -0.2590332, 0.9737549)', 'Roll': '-8.027508', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '14.75697'}
2022-08-13 13:20:51: {'Acceleration': '(0.06896973, -0.3723145, 0.9359131)', 'Roll': '-4.214648', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '21.50059'}
2022-08-13 13:20:52: {'Acceleration': '(0.078125, -0.3525391, 0.9401855)', 'Roll': '-4.750097', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '20.48969'}
2022-08-13 13:20:53: {'Acceleration': '(0.07128906, -0.3392334, 0.9473877)', 'Roll': '-4.303285', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '19.48831'}
2022-08-13 13:20:54: {'Acceleration': '(0.06726074, -0.3311768, 0.9473877)', 'Roll': '-4.034019', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '19.10849'}
2022-08-13 13:20:55: {'Acceleration': '(0.07995605, -0.3272705, 0.9533691)', 'Roll': '-4.793997', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.94281'}
2022-08-13 13:20:56: {'Acceleration': '(0.07275391, -0.319458, 0.9631348)', 'Roll': '-4.319842', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.06301'}
2022-08-13 13:20:57: {'Acceleration': '(0.1026611, -0.3215332, 0.9174805)', 'Roll': '-6.401246', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.33221'}
2022-08-13 13:20:58: {'Acceleration': '(0.0559082, -0.3530273, 0.9506836)', 'Roll': '-3.365598', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '20.67008'}
2022-08-13 13:20:59: {'Acceleration': '(0.04577637, -0.366333, 0.942749)', 'Roll': '-3.024528', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '21.37723'}
2022-08-13 13:20:59: {'Acceleration': '(0.05883789, -0.3496094, 0.949707)', 'Roll': '-3.545156', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '20.27708'}
2022-08-13 13:21:00: {'Acceleration': '(0.07922363, -0.300415, 0.97229)', 'Roll': '-4.658254', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '17.40878'}
2022-08-13 13:21:01: {'Acceleration': '(0.0645752, -0.3312988, 0.9484863)', 'Roll': '-3.894822', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '19.2127'}
2022-08-13 13:21:02: {'Acceleration': '(0.06298828, -0.3255615, 0.9609375)', 'Roll': '-3.760306', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.87981'}
2022-08-13 13:21:03: {'Acceleration': '(0.06616211, -0.3226318, 0.9528809)', 'Roll': '-4.015713', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.82021'}
2022-08-13 13:21:04: {'Acceleration': '(0.06591797, -0.3134766, 0.9622803)', 'Roll': '-3.918744', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.0043'}
2022-08-13 13:21:05: {'Acceleration': '(0.07189941, -0.3189697, 0.9586182)', 'Roll': '-4.289335', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.35621'}
2022-08-13 13:21:06: {'Acceleration': '(0.08166504, -0.3081055, 0.9555664)', 'Roll': '-4.884768', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '17.8102'}
2022-08-13 13:21:06: {'Acceleration': '(0.078125, -0.3122559, 0.958252)', 'Roll': '-4.660939', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '17.68587'}
2022-08-13 13:21:07: {'Acceleration': '(0.109375, -0.2929688, 0.9501953)', 'Roll': '-6.566298', 'battery_voltage': 4.440825, 'battery_percentage': 77.41573, 'Pitch': '17.02994'}
2022-08-13 13:21:08: {'Acceleration': '(0.09936523, -0.3081055, 0.9550781)', 'Roll': '-5.939619', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '17.78963'}
2022-08-13 13:21:09: {'Acceleration': '(0.07971191, -0.3131104, 0.9573975)', 'Roll': '-4.759409', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '17.9874'}
2022-08-13 13:21:10: {'Acceleration': '(0.09057617, -0.3082275, 0.9598389)', 'Roll': '-5.39081', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '17.72928'}
2022-08-13 13:21:11: {'Acceleration': '(0.07080078, -0.3244629, 0.9482422)', 'Roll': '-4.270082', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.84083'}
2022-08-13 13:21:12: {'Acceleration': '(0.08190918, -0.3239746, 0.9443359)', 'Roll': '-4.957276', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.57603'}
2022-08-13 13:21:12: {'Acceleration': '(0.0748291, -0.3175049, 0.9448242)', 'Roll': '-4.528314', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.52072'}
2022-08-13 13:21:13: {'Acceleration': '(0.01062012, -0.4742432, 0.8782959)', 'Roll': '-0.6927713', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '27.11452'}
2022-08-13 13:21:14: {'Acceleration': '(0.05603027, -0.3299561, 0.949707)', 'Roll': '-3.457754', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '18.97664'}
2022-08-13 13:21:15: {'Acceleration': '(0.06506348, -0.3128662, 0.9525146)', 'Roll': '-3.907636', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.08789'}
2022-08-13 13:21:16: {'Acceleration': '(-0.05078125, -0.3920898, 1.03186)', 'Roll': '2.817441', 'battery_voltage': 4.450861, 'battery_percentage': 78.41933, 'Pitch': '20.86257'}
2022-08-13 13:21:17: {'Acceleration': '(0.1143799, -0.3270264, 0.944458)', 'Roll': '-6.905256', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.97023'}
2022-08-13 13:21:18: {'Acceleration': '(0.03320313, -0.4379883, 0.9003906)', 'Roll': '-2.111902', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '23.15655'}
2022-08-13 13:21:19: {'Acceleration': '(0.06213379, -0.2987061, 0.9530029)', 'Roll': '-3.54542', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '18.60825'}
2022-08-13 13:21:19: {'Acceleration': '(0.1422119, -0.1777344, 0.9853516)', 'Roll': '-8.212564', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '8.920744'}
2022-08-13 13:21:20: {'Acceleration': '(0.1157227, -0.553833, 0.7574463)', 'Roll': '-9.043747', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '37.79795'}
2022-08-13 13:21:21: {'Acceleration': '(0.03869629, -0.3148193, 0.9619141)', 'Roll': '-3.021946', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '18.0989'}
2022-08-13 13:21:22: {'Acceleration': '(-0.005615234, -0.394165, 0.9549561)', 'Roll': '0.3369008', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '22.18142'}
2022-08-13 13:21:23: {'Acceleration': '(-0.07226563, -0.4539795, 0.9458008)', 'Roll': '2.322036', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '27.18089'}
2022-08-13 13:21:24: {'Acceleration': '(0.04833984, -0.387085, 0.9667969)', 'Roll': '-2.862405', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '21.79544'}
2022-08-13 13:21:25: {'Acceleration': '(-0.05944824, -0.4077148, 0.9337158)', 'Roll': '3.643016', 'battery_voltage': 4.465914, 'battery_percentage': 79.92471, 'Pitch': '23.54642'}
2022-08-13 13:21:25: {'Acceleration': '(0.02661133, -0.3399658, 0.9602051)', 'Roll': '-1.587501', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '19.48986'}
2022-08-13 13:21:26: {'Acceleration': '(0.0246582, -0.3649902, 0.942627)', 'Roll': '-1.49846', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '21.19952'}
2022-08-13 13:21:27: {'Acceleration': '(0.01672363, -0.347168, 0.9483643)', 'Roll': '-1.01026', 'battery_voltage': 4.455878, 'battery_percentage': 78.9211, 'Pitch': '20.1033'}
2022-08-13 13:21:28: {'Acceleration': '(0.0267334, -0.3431396, 0.9547119)', 'Roll': '-1.603951', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '19.76215'}
2022-08-13 13:21:29: {'Acceleration': '(0.01477051, -0.357666, 0.9398193)', 'Roll': '-0.900405', 'battery_voltage': 4.460896, 'battery_percentage': 79.42288, 'Pitch': '21.2713'}
2022-08-13 13:21:30: {'Acceleration': '(-0.003295898, -0.3625488, 0.9489746)', 'Roll': '0.1989941', 'battery_voltage': 4.445842, 'battery_percentage': 77.9175, 'Pitch': '20.90888'}
