Testing SD card write operations: 2022-08-13 13:20:33
2022-08-13 13:20:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -42, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bed586cbf20d5dc169afac4e58be66c88c2da3fd1788e029790f0af5', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-08-13 13:20:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '346a2bcfb17c52a3cbeac4a6ccbd31e60661fc7d0de5eae7ff04db24', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
