Testing SD card write operations: 2022-08-13 13:20:36
2022-08-13 13:20:37: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:20:39: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-44}
2022-08-13 13:20:39: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-75}
2022-08-13 13:20:41: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-43}
2022-08-13 13:20:41: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:20:43: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-35}
2022-08-13 13:20:43: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-94}
2022-08-13 13:20:45: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-35}
2022-08-13 13:20:45: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-95}
2022-08-13 13:20:45: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-96}
2022-08-13 13:20:47: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-34}
2022-08-13 13:20:47: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-75}
2022-08-13 13:20:47: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:20:49: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-49}
2022-08-13 13:20:49: {'ssid':'C24', 'bssid':'1ac3cdbf31789f514d464822b0e35eec603bb8d9054bed827d1bda1deb3ada00', 'sec':3, 'channel':2, 'rssi':-85}
2022-08-13 13:20:49: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-93}
2022-08-13 13:20:49: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-96}
2022-08-13 13:20:50: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-78}
2022-08-13 13:20:50: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-91}
2022-08-13 13:20:50: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:20:52: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-35}
2022-08-13 13:20:52: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-79}
2022-08-13 13:20:52: {'ssid':'C26', 'bssid':'6910cb50d37e5aa024bde5f23ecec7fd275a071c826c0f95b0298a1928b89267', 'sec':4, 'channel':5, 'rssi':-94}
2022-08-13 13:20:54: {'ssid':'C21', 'bssid':'40876fda5edf4f7e3ef7efa67ae5bf4352bf6a0759aebd54b8fb8aef60487b49', 'sec':3, 'channel':6, 'rssi':-35}
2022-08-13 13:20:54: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-80}
2022-08-13 13:20:54: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-89}
2022-08-13 13:20:54: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:20:58: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:20:58: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:21:00: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:21:00: {'ssid':'C28', 'bssid':'924524d6382bedd3b276d79f38a45ee16e639762689b45028641f99fe896713e', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:21:02: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:21:02: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-90}
2022-08-13 13:21:04: {'ssid':'C26', 'bssid':'6910cb50d37e5aa024bde5f23ecec7fd275a071c826c0f95b0298a1928b89267', 'sec':4, 'channel':5, 'rssi':-93}
2022-08-13 13:21:05: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-78}
2022-08-13 13:21:07: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-80}
2022-08-13 13:21:07: {'ssid':'C29', 'bssid':'063ad33b113d14e66e48e03d84c6f0fc84edbb0fa11c3d0b366d30747879fc17', 'sec':4, 'channel':3, 'rssi':-93}
2022-08-13 13:21:07: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:21:09: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:11: {'ssid':'C26', 'bssid':'6910cb50d37e5aa024bde5f23ecec7fd275a071c826c0f95b0298a1928b89267', 'sec':4, 'channel':5, 'rssi':-92}
2022-08-13 13:21:11: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:21:13: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-81}
2022-08-13 13:21:13: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:17: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-92}
2022-08-13 13:21:17: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-94}
2022-08-13 13:21:19: {'ssid':'C26', 'bssid':'6910cb50d37e5aa024bde5f23ecec7fd275a071c826c0f95b0298a1928b89267', 'sec':4, 'channel':5, 'rssi':-92}
2022-08-13 13:21:20: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-77}
2022-08-13 13:21:22: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:21:22: {'ssid':'C210', 'bssid':'4f8c757cdaf6c4f34eb1fd0ca3c1a3ea3dbaee36fe6fcc1864955e6633b78771', 'sec':3, 'channel':4, 'rssi':-92}
2022-08-13 13:21:26: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-91}
2022-08-13 13:21:26: {'ssid':'C211', 'bssid':'35a6fe653765d8846171142344d20de3c3ab6f1f0c35bf321b520f471457ab90', 'sec':4, 'channel':6, 'rssi':-91}
2022-08-13 13:21:26: {'ssid':'C212', 'bssid':'b9fc20940d750d6c9fc52bf4caef2c93f86dae926178726cda5908fb0ee3b298', 'sec':4, 'channel':6, 'rssi':-92}
2022-08-13 13:21:26: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:26: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-94}
2022-08-13 13:21:28: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-77}
2022-08-13 13:21:28: {'ssid':'C212', 'bssid':'b9fc20940d750d6c9fc52bf4caef2c93f86dae926178726cda5908fb0ee3b298', 'sec':4, 'channel':6, 'rssi':-88}
2022-08-13 13:21:28: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-91}
2022-08-13 13:21:28: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-93}
2022-08-13 13:21:30: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:32: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-84}
2022-08-13 13:21:34: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-90}
2022-08-13 13:21:35: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:21:37: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-78}
2022-08-13 13:21:45: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-92}
2022-08-13 13:21:45: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:48: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:21:50: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-92}
2022-08-13 13:21:52: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-81}
2022-08-13 13:21:52: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-89}
2022-08-13 13:21:52: {'ssid':'C28', 'bssid':'924524d6382bedd3b276d79f38a45ee16e639762689b45028641f99fe896713e', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:21:54: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:21:58: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:22:00: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-75}
2022-08-13 13:22:00: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:22:01: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:22:01: {'ssid':'C212', 'bssid':'b9fc20940d750d6c9fc52bf4caef2c93f86dae926178726cda5908fb0ee3b298', 'sec':4, 'channel':6, 'rssi':-88}
2022-08-13 13:22:01: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-89}
2022-08-13 13:22:01: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:22:01: {'ssid':'C28', 'bssid':'924524d6382bedd3b276d79f38a45ee16e639762689b45028641f99fe896713e', 'sec':4, 'channel':11, 'rssi':-96}
2022-08-13 13:22:03: {'ssid':'C212', 'bssid':'b9fc20940d750d6c9fc52bf4caef2c93f86dae926178726cda5908fb0ee3b298', 'sec':4, 'channel':6, 'rssi':-92}
2022-08-13 13:22:03: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:22:05: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-95}
2022-08-13 13:22:07: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-94}
2022-08-13 13:22:09: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-83}
2022-08-13 13:22:11: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-80}
2022-08-13 13:22:11: {'ssid':'C20', 'bssid':'ffd06d29e7f10fbc082af5f24480d99db98443c0dd612551427672c93e15e5c4', 'sec':4, 'channel':11, 'rssi':-93}
2022-08-13 13:22:13: {'ssid':'C212', 'bssid':'b9fc20940d750d6c9fc52bf4caef2c93f86dae926178726cda5908fb0ee3b298', 'sec':4, 'channel':6, 'rssi':-89}
2022-08-13 13:22:13: {'ssid':'C23', 'bssid':'01cea7137799759e4213cf0874a0967d136f9dd74f23d9cb69ac1f193848d309', 'sec':4, 'channel':1, 'rssi':-93}
2022-08-13 13:22:15: {'ssid':'C26', 'bssid':'6910cb50d37e5aa024bde5f23ecec7fd275a071c826c0f95b0298a1928b89267', 'sec':4, 'channel':5, 'rssi':-95}
2022-08-13 13:22:18: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:22:20: {'ssid':'C29', 'bssid':'063ad33b113d14e66e48e03d84c6f0fc84edbb0fa11c3d0b366d30747879fc17', 'sec':4, 'channel':3, 'rssi':-96}
2022-08-13 13:22:22: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-76}
2022-08-13 13:22:24: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-78}
2022-08-13 13:22:24: {'ssid':'C221', 'bssid':'ba2fb67fc8262e9b3f492cdf369437c13dfacaf22258856d37576eb2bd2394bb', 'sec':4, 'channel':5, 'rssi':-93}
2022-08-13 13:22:26: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-93}
2022-08-13 13:22:29: {'ssid':'C22', 'bssid':'6b8c5e55ac512ac8972dcf7c5198c3e9025e2a06973f9034ab643c42e835fa28', 'sec':4, 'channel':5, 'rssi':-80}
2022-08-13 13:22:40: {'ssid':'C25', 'bssid':'1b4a1af0cbe62f6159ac5442696faf3423d2204473b66efe9622deb1811aac5a', 'sec':4, 'channel':4, 'rssi':-92}
