Testing SD card write operations: 2022-05-20 21:16:18
2022-05-20 21:16:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '496975838913755607c9148c90788426f05fcaa24b4bbc9ea2887bd46f8f89c7', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97b6ee0cc77e4c51b1f1cde29d8a05aabbad6e314672e26f9275a5253bc8e0ed', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:21: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '0e9761314b1cb1f91e720e420285ff6aebac0c08556fb7cbb9c86f2fa70c99f7', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2ce5db96508f60c24f5bd6e6f0d22f1443379d1510a3f2ba2577122d1433ec43', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 21:16:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cadacb79fa18562c60c544c1b4b5371db3df57a3876207c466c31b388f054a7d', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ba909a77f7e988f5bf0a830713fa2c26c241568f4ce6a8bd2a645dd134ee2187', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76afb5d3f2beec6387492f2bb8cc60f2e0d294014ea810d0ce3ab28dca60c180', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'acea0bdc93eb133f14eec0386388124aab705f3c19245d04c07a1128e81cb21c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 21:16:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97b6ee0cc77e4c51b1f1cde29d8a05aabbad6e314672e26f9275a5253bc8e0ed', 'rssi': -49, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 21:16:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc985644b0ae2c7b56185728e80fa696d52fe1a396357fe36ee64f6150416b2b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 21:16:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '76afb5d3f2beec6387492f2bb8cc60f2e0d294014ea810d0ce3ab28dca60c180', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
