Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:03:47: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 21:03:49: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-49}
2022-05-20 21:03:51: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-44}
2022-05-20 21:03:51: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-86}
2022-05-20 21:03:53: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-54}
2022-05-20 21:03:54: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-20 21:03:56: {'ssid':'M10', 'bssid':'605b7e9bc399899153c9c067042c604145d886a70ae9bf213d0dc3d6', 'sec':3, 'channel':6, 'rssi':-59}
2022-05-20 21:03:56: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-90}
2022-05-20 21:04:00: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:04:07: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:04:11: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-78}
2022-05-20 21:04:13: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:04:15: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-73}
2022-05-20 21:04:18: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:04:20: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:04:24: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-76}
2022-05-20 21:04:29: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-78}
2022-05-20 21:04:31: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:04:35: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-82}
2022-05-20 21:04:40: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-72}
2022-05-20 21:04:42: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-79}
2022-05-20 21:04:46: {'ssid':'M11', 'bssid':'3dd98a521d618b18662e86222dbf4933f05b289780d00743131337f3', 'sec':3, 'channel':10, 'rssi':-75}
