Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
11:00:00,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-62,,3,64,,3
11:00:01,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-68,,3,64,,3
11:00:02,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-62,,3,64,,3
11:00:03,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-53,,3,64,12,3
11:00:03,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-60,,3,64,1,3
11:00:04,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-62,,3,64,,3
11:00:05,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-57,,3,64,12,3
11:00:06,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-69,,3,64,7,3
11:00:07,,3,9ef41522dfb76d551e109e77afe079ca2cf0273ff7ba692b37171e0e,-82,,3,64,,3
11:00:07,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-61,,3,64,,3
11:00:08,,3,9ef41522dfb76d551e109e77afe079ca2cf0273ff7ba692b37171e0e,-75,,3,64,,3
11:00:09,26,3,2924d978a51910fc77a0e210569903528c255014e489d0aff2111c9f,-64,,3,64,12,3
11:00:10,26,3,c03d5044cecfd21f9b4c53186f690e722f1b2c280dd6cc6b736f1053,-89,,3,64,12,3
11:00:11,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-58,,3,64,,3
11:00:11,26,3,4e42f8e554fdc30b728e524b01a1ec8a36d2a0e5b913994914e1df43,-76,,3,64,,3
11:00:12,,3,607c4a39e0448eacc0f542782a7ae257c6eaf697a750a94d22717dd1,-81,,3,64,,3
11:00:13,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-69,,3,64,7,3
11:00:14,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-57,,3,64,,3
11:00:14,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-63,,3,64,,3
11:00:15,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-62,,3,64,,3
11:00:16,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-66,,3,64,,3
11:00:17,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-69,,3,64,7,3
11:00:18,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-73,,3,64,7,3
11:00:18,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-56,,3,64,,3
11:00:19,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-56,,3,64,,3
11:00:20,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-72,,3,64,7,3
11:00:21,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-66,,3,64,12,3
11:00:22,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-62,,3,64,12,3
11:00:22,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-58,,3,64,,3
11:00:23,,3,9ffeaa13e4ea3d3e648fbd7659b9e33e5acd5bb8b024addda8429bef,-69,,3,64,,3
11:00:24,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-73,,3,64,7,3
11:00:25,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-53,,3,64,12,3
11:00:26,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-58,,3,64,,3
11:00:26,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-71,,3,64,7,3
11:00:27,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-56,,3,64,,3
11:00:28,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-69,,3,64,7,3
11:00:29,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-54,,3,64,,3
11:00:30,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-58,,3,64,,3
11:00:30,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-64,,3,64,12,3
11:00:31,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-61,,3,64,12,3
11:00:32,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-63,,3,64,,3
11:00:33,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-72,,3,64,,3
11:00:33,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-69,,3,64,,3
11:00:34,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-62,,3,64,,3
11:00:35,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-85,,3,64,,3
11:00:36,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-71,,3,64,,3
11:00:37,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-70,,3,64,,3
11:00:37,5,3,94c63edae1d4ccac7a392479fbb48913f782f9ab3cfd9cb667045a43,-53,Mb20,3,64,0,3
11:00:38,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-54,,3,64,,3
11:00:39,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-63,,3,64,,3
11:00:40,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-47,,3,64,12,3
11:00:41,,3,b0f27bc7677ed9f817b4a4bc7f72eaa7eea1c16dc526fa21c69a5172,-41,,3,64,,3
11:00:41,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-74,,3,64,,3
11:00:42,,3,66884c272e113de419a0faaa343733d65e51e79fd582af691f3e971d,-62,,3,64,,3
11:00:43,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-64,,3,64,,3
11:00:44,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-78,,3,64,,3
11:00:45,,3,b0f27bc7677ed9f817b4a4bc7f72eaa7eea1c16dc526fa21c69a5172,-53,,3,64,,3
11:00:45,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-76,,3,64,,3
11:00:46,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-73,,3,64,,3
11:00:47,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-76,,3,64,,3
11:00:48,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-51,,3,64,12,3
11:00:49,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-68,,3,64,,3
11:00:49,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-47,,3,64,12,3
11:00:50,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-66,,3,64,1,3
11:00:51,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-65,,3,64,,3
11:00:52,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-65,,3,64,1,3
11:00:53,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-72,,3,64,7,3
11:00:53,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-64,,3,64,,3
11:00:54,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-62,,3,64,,3
11:00:55,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-74,,3,64,,3
11:00:56,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-66,,3,64,,3
11:00:56,26,3,75c146698728ae5102e041e19b9ccf19d7abe2f4b88602356cf12993,-60,,3,64,12,3
11:00:57,,3,8acd0f95559f599bc77cef073702144160ad71796c2f4ae203d37214,-74,,3,64,,3
11:00:58,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-69,,3,64,12,3
11:00:59,26,3,a99633687654fc06506118134531ae6f43fbfb0117f3ee8e71ec6966,-59,,3,64,12,3
11:01:00,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-62,,3,64,,3
11:01:00,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-68,,3,64,,3
11:01:01,,3,8acd0f95559f599bc77cef073702144160ad71796c2f4ae203d37214,-72,,3,64,,3
11:01:02,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-73,,3,64,,3
11:01:03,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-62,,3,64,,3
11:01:04,26,3,971a3a4a4c0c668499d39d3f371a23cfd3df3e79e565e2e7b71f5026,-74,,3,64,,3
11:01:04,26,3,5f64e1f577fb4e33a4e9df728fda44fee922f16b84cab8cb38aba34b,-74,,3,64,,3
11:01:05,26,3,b5c57233c0d0abbd4cd879dbcbec8961e023afcf005ca96be60c9ed6,-80,,3,64,7,3
