Time,ssid,bssid,sec,channel,rssi
11:00:00,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-52
11:00:02,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-51
11:00:03,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-53
11:00:05,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-52
11:00:09,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-50
11:00:11,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-54
11:00:13,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-53
11:00:16,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-51
11:00:18,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-53
11:00:20,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-54
11:00:22,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-49
11:00:24,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-53
11:00:26,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-59
11:00:27,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-44
11:00:29,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-45
11:00:33,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-45
11:00:35,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-45
11:00:37,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-55
11:00:38,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-56
11:00:40,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-58
11:00:42,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-56
11:00:44,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-58
11:00:46,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-57
11:00:49,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-60
11:00:51,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-63
11:00:53,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-66
11:00:55,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-62
11:00:57,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-58
11:00:59,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-56
11:01:06,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-57
11:01:08,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-56
11:01:10,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-55
11:01:12,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-55
11:01:13,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-56
11:01:15,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-55
11:01:21,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-49
11:01:23,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-50
11:01:28,iPhone,b'\xaa\xe1\xe6L\x9e\x9a',3,6,-49
