Testing SD card write operations: 2022-06-06 10:54:42
2022-06-06 11:00:00: {'Acceleration': '(0.01171875, 0.02624512, 1.030396)', 'Roll': '-0.6425425', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.579138'}
2022-06-06 11:00:01: {'Acceleration': '(0.005126953, 0.02807617, 1.03418)', 'Roll': '-0.2941811', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-2.338084'}
2022-06-06 11:00:02: {'Acceleration': '(-0.0003662109, -0.01855469, 0.9974365)', 'Roll': '0.5077667', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.1136775'}
2022-06-06 11:00:03: {'Acceleration': '(0.01940918, 0.004638672, 1.011719)', 'Roll': '-1.099048', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.2626476'}
2022-06-06 11:00:03: {'Acceleration': '(0.03564453, -0.009277344, 1.0)', 'Roll': '-2.041417', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.5312'}
2022-06-06 11:00:04: {'Acceleration': '(0.02880859, 0.01147461, 1.06604)', 'Roll': '-1.718423', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.3803517'}
2022-06-06 11:00:05: {'Acceleration': '(0.03540039, 0.01953125, 0.9100342)', 'Roll': '-2.227686', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.22857'}
2022-06-06 11:00:06: {'Acceleration': '(0.05395508, 0.03808594, 1.016113)', 'Roll': '-3.039521', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.143537'}
2022-06-06 11:00:07: {'Acceleration': '(0.08129883, 0.03515625, 0.9306641)', 'Roll': '-4.99244', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.155145'}
2022-06-06 11:00:08: {'Acceleration': '(0.07751465, 0.03613281, 0.9760742)', 'Roll': '-4.540598', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.997166'}
2022-06-06 11:00:09: {'Acceleration': '(0.04797363, 0.04736328, 0.9813232)', 'Roll': '-2.798772', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.912496'}
2022-06-06 11:00:10: {'Acceleration': '(0.1345215, 0.02392578, 0.9538574)', 'Roll': '-8.027422', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '0.5154487'}
2022-06-06 11:00:10: {'Acceleration': '(0.09606934, 0.04663086, 0.9885254)', 'Roll': '-7.749378', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.676133'}
2022-06-06 11:00:11: {'Acceleration': '(0.1589355, 0.09130859, 1.068726)', 'Roll': '-8.458748', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-4.830446'}
2022-06-06 11:00:12: {'Acceleration': '(0.1558838, 0.04418945, 1.025635)', 'Roll': '-8.642109', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.439085'}
2022-06-06 11:00:13: {'Acceleration': '(0.1547852, 0.04101563, 1.044189)', 'Roll': '-8.431824', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.225125'}
2022-06-06 11:00:14: {'Acceleration': '(0.1884766, 0.04553223, 1.007568)', 'Roll': '-10.59534', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.543391'}
2022-06-06 11:00:15: {'Acceleration': '(0.1520996, 0.01757813, 1.037598)', 'Roll': '-8.795341', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.4822849'}
2022-06-06 11:00:16: {'Acceleration': '(0.138916, -0.006225586, 1.134277)', 'Roll': '-9.533483', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.3795766'}
2022-06-06 11:00:16: {'Acceleration': '(0.1386719, 0.04443359, 1.053711)', 'Roll': '-8.713422', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.829553'}
2022-06-06 11:00:17: {'Acceleration': '(0.1599121, -0.01940918, 0.9659424)', 'Roll': '-9.40008', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '1.135666'}
2022-06-06 11:00:18: {'Acceleration': '(0.1810303, 0.006103516, 0.9779053)', 'Roll': '-10.48789', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.3516281'}
2022-06-06 11:00:19: {'Acceleration': '(0.1617432, 0.02709961, 1.035156)', 'Roll': '-8.880658', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-1.481648'}
2022-06-06 11:00:20: {'Acceleration': '(0.1484375, 0.06970215, 1.085083)', 'Roll': '-7.789613', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-0.6057293'}
2022-06-06 11:00:21: {'Acceleration': '(0.1339111, 0.02087402, 1.031616)', 'Roll': '-8.592503', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.06995716'}
2022-06-06 11:00:22: {'Acceleration': '(0.1707764, 0.009887695, 1.139038)', 'Roll': '-10.74821', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.180868'}
2022-06-06 11:00:22: {'Acceleration': '(0.1707764, -0.05126953, 0.9934082)', 'Roll': '-9.754347', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.911761'}
2022-06-06 11:00:23: {'Acceleration': '(0.1341553, -0.03881836, 0.9924316)', 'Roll': '-7.698483', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '2.219779'}
2022-06-06 11:00:24: {'Acceleration': '(0.1464844, -0.01489258, 0.9918213)', 'Roll': '-8.40141', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '0.8510232'}
