Testing SD card write operations: 2022-07-08 21:23:22
2022-07-08 21:23:23: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '27.9901', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.05232'}
2022-07-08 21:23:24: {'Acceleration': '(-0.4111328, -0.5527344, 0.7546387)', 'Roll': '28.58902', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.74689'}
2022-07-08 21:23:25: {'Acceleration': '(-0.4199219, -0.5410156, 0.7471924)', 'Roll': '29.33597', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '32.26061'}
2022-07-08 21:23:26: {'Acceleration': '(-0.4152832, -0.5421143, 0.7619629)', 'Roll': '28.69721', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.70015'}
2022-07-08 21:23:27: {'Acceleration': '(-0.4140625, -0.5373535, 0.7564697)', 'Roll': '28.6946', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '31.92734'}
2022-07-08 21:23:28: {'Acceleration': '(-0.4240723, -0.5373535, 0.7463379)', 'Roll': '29.60542', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '31.85899'}
2022-07-08 21:23:29: {'Acceleration': '(-0.513916, -0.4846191, 0.7283936)', 'Roll': '35.20477', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '28.53008'}
2022-07-08 21:23:30: {'Acceleration': '(-0.5975342, -0.4415283, 0.7086182)', 'Roll': '40.13888', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '25.47021'}
2022-07-08 21:23:30: {'Acceleration': '(-0.5894775, -0.4351807, 0.696167)', 'Roll': '40.25617', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '25.47183'}
2022-07-08 21:23:31: {'Acceleration': '(-0.6051025, -0.4001465, 0.7207031)', 'Roll': '40.01683', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.03597'}
2022-07-08 21:23:32: {'Acceleration': '(-0.626709, -0.4024658, 0.7199707)', 'Roll': '41.03841', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '23.01705'}
2022-07-08 21:23:33: {'Acceleration': '(-0.6184082, -0.4161377, 0.7030029)', 'Roll': '41.33701', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '23.9629'}
