Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:23:17: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:23:19: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:23:21: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:23:22: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-08 21:23:24: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:23:24: {'ssid':'M30 de Donatien', 'bssid':'4ad794811c8d1bebee04dc9ca45182448e98288fcf2dd669c16e0545df208159', 'sec':3, 'channel':6, 'rssi':-74}
2022-07-08 21:23:26: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:23:28: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:23:30: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:23:30: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-92}
2022-07-08 21:23:32: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-08 21:23:34: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:23:35: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:23:37: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:23:39: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:23:41: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:23:43: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-08 21:23:45: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:23:47: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:23:48: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:23:50: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:23:52: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-08 21:23:54: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:23:56: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-08 21:23:58: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-08 21:24:00: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-39}
2022-07-08 21:24:01: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:24:01: {'ssid':'M33', 'bssid':'e2122deec662ef03d5b7edd93f62fa6d3b1ec3d02d89abe147be4203e1f879bf', 'sec':3, 'channel':11, 'rssi':-93}
2022-07-08 21:24:03: {'ssid':'M30', 'bssid':'aa87ed65027b0dec193284ccc6be82c3dc9450df2ef7a5b48a6564de718c0e8a', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-08 21:24:03: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-93}
