Testing SD card write operations: 2022-07-06 13:31:32
2022-07-06 13:31:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc72a1caac963769f0d56c23be5b60ab3b6f06598e5ade22470f933d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9784e2f9a2eea78389e92357c22810c3b9cb68468f43e75769491885', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:31:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'b4d07a927eccb2bdd0947b28c8ea948cd56fd9a5df72670bc06ba4de', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '14a38ac95229239286ca90bdaece6ccd43b010d0a2972e4a1b545ba4', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '358ff1f84b234faa1457099a2ee154964f9fb24d02d282a86d6190c5', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:38: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4b1fb693228c8fa0c68507bc98cfe7089316261a8d8e00a708f6ea90', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '573b56045c2b22088de9fbd51934fc411fcee653cf3505355b0b95c2', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc1d470fba2b49ba0bdfbd985cf0c787deeae357eb6c48682b32c6e9', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9b0474c8e148735797a6b2514e0f7dfaa0c33d7acee3cccc0787dd07', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 13:31:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fc72a1caac963769f0d56c23be5b60ab3b6f06598e5ade22470f933d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 13:31:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '890242871dc1173247fe4dd4db0d6ef0c94f3a6d2f0f927286e0b0a0', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 13:31:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '080d46cd78b0de15143991ead0acca5a895867d08bc837d369be2ee7', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
