Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
16:39:14,"(0.0, 0.0, 0.0)",18.60131,4.516094,84.94266,-0.2664558
16:39:15,"(-0.364624, 0.05895996, 0.9909668)",20.39049,4.521111,85.44443,-4.130163
16:39:16,"(-0.3187256, 0.001220703, 0.8519287)",20.07535,4.521111,85.44443,-1.245512
16:39:17,"(-0.3269043, -0.00402832, 0.9925537)",18.22965,4.526129,85.94621,-0.0138606
16:39:17,"(-0.3381348, 0.08239746, 0.977417)",19.08292,4.526129,85.94621,-1.881963
16:39:18,"(-0.3660889, 0.05700684, 0.8612061)",23.02979,4.521111,85.44443,-3.486071
16:39:19,"(-0.3557129, 0.01464844, 0.961792)",20.29661,4.541183,87.45158,-0.8183973
16:39:20,"(-0.3309326, 0.06774902, 0.9604492)",19.01191,4.526129,85.94621,-3.815466
16:39:21,"(-0.331665, 0.07873535, 0.9520264)",19.20721,4.521111,85.44443,-4.465692
16:39:22,"(-0.3653564, 0.07873535, 0.9703369)",20.37336,4.521111,85.44443,-2.613155
16:39:23,"(-0.3098145, 0.0534668, 0.9379883)",18.27822,4.521111,85.44443,-3.016735
16:39:23,"(-0.3967285, -0.006591797, 1.009888)",21.44709,4.521111,85.44443,0.3480837
16:39:24,"(-0.2905273, 0.07336426, 0.8726807)",18.41331,4.516094,84.94266,-4.560466
16:39:25,"(-0.4141846, 0.05102539, 0.9641113)",23.24848,4.511075,84.44078,-2.783951
16:39:26,"(-0.350708, -0.003662109, 0.8920898)",22.74668,4.526129,85.94621,-1.012146
16:39:27,"(-0.3604736, -0.0369873, 1.00415)",19.81132,4.526129,85.94621,2.749341
16:39:28,"(-0.4182129, -0.04077148, 0.9471436)",24.78515,4.521111,85.44443,1.5695
16:39:28,"(-0.3782959, -0.0534668, 0.9503174)",22.97949,4.526129,85.94621,1.14344
16:39:29,"(-0.3786621, -0.07446289, 1.097168)",19.04093,4.521111,85.44443,4.151728
16:39:30,"(-0.4051514, -0.06921387, 0.9117432)",23.95893,4.526129,85.94621,3.919568
16:39:31,"(-0.4112549, 0.002807617, 0.9279785)",23.90162,4.521111,85.44443,-0.1584831
16:39:32,"(-0.4050293, -0.01794434, 0.9576416)",22.92567,4.521111,85.44443,0.9887094
16:39:33,"(-0.4206543, -0.02050781, 0.949707)",23.89002,4.521111,85.44443,1.131088
16:39:33,"(-0.4833984, -0.03308105, 1.113281)",23.47099,4.521111,85.44443,1.561287
16:39:34,"(-0.4180908, 0.015625, 0.9822998)",23.05579,4.521111,85.44443,-0.8385209
16:39:35,"(-0.4781494, -0.01281738, 0.9854736)",25.88255,4.526129,85.94621,0.6704254
16:39:36,"(-0.4863281, 0.009521484, 0.8239746)",30.76696,4.521111,85.44443,-1.450729
16:39:37,"(-0.4456787, 0.06811523, 0.9455566)",25.40864,4.521111,85.44443,-2.016244
16:39:38,"(-0.4512939, 0.08947754, 0.9091797)",27.20759,4.521111,85.44443,-3.955
16:39:38,"(-0.4473877, 0.01757813, 1.036255)",23.55762,4.526129,85.94621,-1.240352
16:39:39,"(-0.4875488, 0.0793457, 0.8857422)",27.803,4.526129,85.94621,-3.758441
16:39:40,"(-0.4436035, 0.02880859, 0.9061279)",26.0085,4.526129,85.94621,-1.76265
16:39:41,"(-0.4642334, 0.03283691, 0.8891602)",27.56921,4.526129,85.94621,-2.85063
16:39:42,"(-0.4696045, 0.03771973, 0.9364014)",26.63373,4.506058,83.93905,-2.390119
16:39:43,"(-0.46521, 0.04528809, 0.9324951)",26.54402,4.526129,85.94621,-2.463803
16:39:43,"(-0.4493408, 0.02783203, 0.9384766)",25.58501,4.521111,85.44443,-2.151652
16:39:44,"(-0.4593506, 0.02355957, 0.9509277)",25.78311,4.521111,85.44443,-1.282942
16:39:45,"(-0.4052734, 0.0135498, 0.9398193)",23.3269,4.526129,85.94621,-0.7542787
16:39:46,"(-0.4030762, 0.02807617, 0.9467773)",23.06115,4.526129,85.94621,-1.56291
16:39:47,"(-0.3920898, 0.03076172, 0.9525146)",22.37386,4.526129,85.94621,-1.710577
16:39:48,"(-0.3496094, 0.002319336, 0.9638672)",19.93648,4.521111,85.44443,-0.1296072
16:39:48,"(-0.3234863, 0.005249023, 0.9694824)",18.45226,4.526129,85.94621,-0.2942625
16:39:49,"(-0.24646, 0.0213623, 0.9056396)",15.22375,4.526129,85.94621,-1.303846
16:39:50,"(-0.3032227, -0.008666992, 0.9621582)",17.49216,4.526129,85.94621,0.4922345
16:39:51,"(-0.291748, -0.009643555, 0.9825439)",16.5378,4.526129,85.94621,0.5390723
16:39:52,"(-0.3009033, -0.001220703, 0.9754639)",17.59702,4.521111,85.44443,0.04768057
16:39:53,"(-0.3048096, -0.0003662109, 0.9743652)",17.6519,4.521111,85.44443,0.02052045
16:39:53,"(-0.3032227, -0.001708984, 0.973999)",17.34589,4.526129,85.94621,0.2523093
16:39:54,"(-0.2963867, -0.01049805, 0.9919434)",16.76703,4.526129,85.94621,0.5715799
16:39:55,"(-0.3083496, -0.008422852, 0.973999)",17.62692,4.521111,85.44443,0.2334559
16:39:56,"(-0.2990723, -0.005004883, 0.9749756)",17.05734,4.526129,85.94621,-0.5756341
16:39:57,"(-0.2921143, -0.004394531, 0.9797363)",16.60226,4.521111,85.44443,0.211523
16:39:58,"(-0.2978516, -0.006347656, 0.9669189)",16.94517,4.526129,85.94621,0.4655687
16:39:59,"(-0.2969971, -0.006958008, 0.96875)",16.74867,4.526129,85.94621,0.06191679
16:39:59,"(-0.3043213, 0.008911133, 0.9715576)",17.31648,4.531147,86.44797,-0.5343192
16:40:00,"(-0.305542, 0.004516602, 0.9764404)",17.37564,4.526129,85.94621,-0.1436171
16:40:01,"(-0.3010254, 0.004272461, 0.9753418)",17.1521,4.526129,85.94621,-0.3267295
16:40:02,"(-0.2655029, -0.006347656, 1.001709)",14.8449,4.526129,85.94621,-1.52013
16:40:03,"(-0.2794189, -0.001586914, 0.9691162)",15.76327,4.531147,86.44797,0.1173946
16:40:04,"(-0.288208, 0.0111084, 0.9796143)",16.40962,4.526129,85.94621,-0.4857111
16:40:04,"(-0.293457, 0.01062012, 0.9718018)",16.63325,4.526129,85.94621,-0.5864894
16:40:05,"(-0.2991943, 0.005737305, 0.9804688)",16.70056,4.521111,85.44443,-0.04804316
16:40:06,"(-0.2838135, -0.002075195, 0.9884033)",16.13067,4.526129,85.94621,-0.06161148
16:40:07,"(-0.1933594, -0.03479004, 1.01123)",10.9721,4.526129,85.94621,1.898215
16:40:08,"(-0.166748, -0.0402832, 1.013306)",9.846821,4.521111,85.44443,2.4328
16:40:09,"(-0.1816406, -0.04260254, 1.005859)",9.90514,4.521111,85.44443,2.189128
16:40:09,"(-0.1838379, -0.03833008, 1.013062)",10.36115,4.521111,85.44443,2.086746
16:40:10,"(-0.1783447, -0.03393555, 1.015137)",10.11165,4.521111,85.44443,1.206657
16:40:11,"(-0.1879883, -0.04138184, 1.022827)",10.37925,4.521111,85.44443,1.785758
16:40:12,"(-0.1911621, -0.03930664, 1.004395)",10.87792,4.521111,85.44443,2.094444
16:40:13,"(-0.1772461, -0.02685547, 1.018433)",10.61088,4.526129,85.94621,1.061034
16:40:14,"(-0.1756592, -0.02429199, 1.005859)",9.241937,4.526129,85.94621,1.380693
