Testing SD card write operations: 2022-09-16 16:39:13
2022-09-16 16:39:14: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '18.60131', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '-0.2664558'}
2022-09-16 16:39:15: {'Acceleration': '(-0.364624, 0.05895996, 0.9909668)', 'Roll': '20.39049', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-4.130163'}
2022-09-16 16:39:16: {'Acceleration': '(-0.3187256, 0.001220703, 0.8519287)', 'Roll': '20.07535', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-1.245512'}
2022-09-16 16:39:17: {'Acceleration': '(-0.3269043, -0.00402832, 0.9925537)', 'Roll': '18.22965', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-0.0138606'}
2022-09-16 16:39:17: {'Acceleration': '(-0.3381348, 0.08239746, 0.977417)', 'Roll': '19.08292', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-1.881963'}
2022-09-16 16:39:18: {'Acceleration': '(-0.3660889, 0.05700684, 0.8612061)', 'Roll': '23.02979', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-3.486071'}
2022-09-16 16:39:19: {'Acceleration': '(-0.3557129, 0.01464844, 0.961792)', 'Roll': '20.29661', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-0.8183973'}
2022-09-16 16:39:20: {'Acceleration': '(-0.3309326, 0.06774902, 0.9604492)', 'Roll': '19.01191', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '-3.815466'}
2022-09-16 16:39:21: {'Acceleration': '(-0.331665, 0.07873535, 0.9520264)', 'Roll': '19.20721', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-4.465692'}
2022-09-16 16:39:22: {'Acceleration': '(-0.3653564, 0.07873535, 0.9703369)', 'Roll': '20.37336', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-2.613155'}
2022-09-16 16:39:23: {'Acceleration': '(-0.3098145, 0.0534668, 0.9379883)', 'Roll': '18.27822', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '-3.016735'}
