Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
15:06:32,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:34,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:36,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:38,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:39,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:41,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:43,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:45,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:06:47,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
15:06:48,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
15:06:50,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
15:06:52,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:54,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:56,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:57,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
15:06:59,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:01,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:03,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:05,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:06,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:08,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:10,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:12,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:07:14,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
15:07:15,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
15:07:17,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
15:07:19,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:21,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:23,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:24,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:26,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:28,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:30,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:32,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:34,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:35,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:37,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:07:39,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:08:50,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
15:08:52,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
15:08:54,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:08:55,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:08:57,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:08:59,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:01,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:03,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:04,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:06,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:08,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:10,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:12,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:13,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:15,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:17,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:19,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:21,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:22,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:24,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:26,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:28,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:30,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:31,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:33,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:35,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:37,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:39,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
15:09:40,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:42,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:44,7,b'',866400000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:46,7,b'',866600000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:48,7,b'',863000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:49,7,b'',864000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:51,7,b'',865000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:53,7,b'',866000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:55,7,b'',867000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:57,7,b'',868000000,0,0,0,0.0,0,0,0,14,0,0,0
15:09:58,7,b'',869000000,0,0,0,0.0,0,0,0,14,0,0,0
15:10:00,7,b'',864862500,0,0,0,0.0,0,0,0,14,0,0,0
15:10:02,7,b'',865062500,0,0,0,0.0,0,0,0,14,0,0,0
15:10:04,7,b'',865402500,0,0,0,0.0,0,0,0,14,0,0,0
15:10:06,7,b'',865602500,0,0,0,0.0,0,0,0,14,0,0,0
15:10:07,7,b'',865985000,0,0,0,0.0,0,0,0,14,0,0,0
15:10:09,7,b'',866200000,0,0,0,0.0,0,0,0,14,0,0,0
