Testing SD card write operations: 2022-09-20 15:08:50
2022-09-20 15:08:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ed47056a89c7b1364cd3ed6b6be7ba3596501fe13e3e876188c5f5a31d8e4803', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:08:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:08:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe5e3c7e5300242003cd6bf1d0a0d6121f192c5942d5907756403723cb2ca97', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 15:08:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'dfe5e3c7e5300242003cd6bf1d0a0d6121f192c5942d5907756403723cb2ca97', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-09-20 15:08:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ed47056a89c7b1364cd3ed6b6be7ba3596501fe13e3e876188c5f5a31d8e4803', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:08:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:08:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e0d11fa8b77ba007018931fa586dbba45a248c21ef8a3a4a940e32672d7927df', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-20 15:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:08:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:08:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '84710b5e4baa4551e0b5cdbf5efeb34299fb6debe1dd65b235a276e8f1670eb0', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:08:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3e79a3cf745528c67fa1ce36ef9f741a8eb19bc4d56c7db5dd4e0280bae7c75b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:08:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '84710b5e4baa4551e0b5cdbf5efeb34299fb6debe1dd65b235a276e8f1670eb0', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-20 15:09:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'bbda5fbfff2617f18a1524658d63a861bdb90640ce7fd5c8d2516fbe4192f97c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-20 15:09:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0edbc53a7129193a5cba5a5524dccce8b9831f3b163686b7f952ba7857f5331a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
