Time,ssid,bssid,sec,channel,rssi
09:22:36,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-90
09:22:41,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-90
09:22:43,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-86
09:22:43,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-88
09:22:47,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-88
09:22:51,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-87
09:22:53,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-72
09:22:53,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-83
09:22:54,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-83
09:22:56,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-76
09:22:56,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-77
09:22:58,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-72
09:22:58,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-72
09:23:00,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-75
09:23:00,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-79
09:23:02,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-64
09:23:02,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-68
09:23:04,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-73
09:23:04,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-79
09:23:06,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-72
09:23:06,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-75
09:23:08,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-74
09:23:09,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-78
09:23:09,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-83
09:23:11,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-75
09:23:11,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-81
09:23:13,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-79
09:23:13,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-85
09:23:13,P12,7ed9b36dac166a676ab07bf23c0cadbb784dcb1ba37cccd9267ec92e7c4a5776,3,1,-89
09:23:15,P10,e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a,3,11,-75
09:23:15,P11,16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e,3,6,-85
