Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:22:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3699e842b27ab5c5b798367f2f7c488d9ae374d34868ac3b49b5cff410bb25c1', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac09100f5f0cba7f130ce26f39638c93b5cd6d105f9477e59d3310d44a1720b0', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '14cb206f130b5bcf7fd4bfcefc79909b76185f6583049f7c445efc029707dbc4', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:05: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '301b41130af665a3af420b7806d0bd8163fc0eb71968b74d41046fb0e0e8574e', 'rssi': -90, 'name': 'Pb10', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:10: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f64b6d040224e8cc247220a22fdc7ff4d0fae670d4e32bed619fa8058b86b80d', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:11: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:12: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:13: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '79fde7a283e9ac5533b42957dc0443be1b80f0436021123b4bbb06c57a366a50', 'rssi': -92, 'name': 'Pb11', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -17, 'adv_tx_pwr': 3}
2022-07-07 09:22:13: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '14cb206f130b5bcf7fd4bfcefc79909b76185f6583049f7c445efc029707dbc4', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:14: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '97ab12618d93181073419622dfe98197d57706ced7548829bceb045dbccd1cac', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:16: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a8c41a045264d67499ba8c942051331bd915a0d907795d724dbb3943d4f98fb6', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0a2ba1c2aaa54a6b56d02c56823e76b6eed7fa76007719e72a06e809a4cc7da0', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:17: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '70e906fec671f2e55a2bf4d6f257936653c67ad94311acea5081af8b6e6427de', 'rssi': -41, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f64b6d040224e8cc247220a22fdc7ff4d0fae670d4e32bed619fa8058b86b80d', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '01e429cc34bbffd06b8eceaee33f2dbb7ff7c0bb58c5d9dfaf1fd69e34543455', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-07 09:22:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0a2ba1c2aaa54a6b56d02c56823e76b6eed7fa76007719e72a06e809a4cc7da0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36aed03cf16c3b2a8f5de8da8bc12c00b719a5fdfa7c72a48bf242e709d2d3f2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 09:22:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a8c41a045264d67499ba8c942051331bd915a0d907795d724dbb3943d4f98fb6', 'rssi': -96, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e7c727c6b7250cc19665b272d44f4430bde4ea396ac1d98073e41534e5ef8758', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ac09100f5f0cba7f130ce26f39638c93b5cd6d105f9477e59d3310d44a1720b0', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a8c41a045264d67499ba8c942051331bd915a0d907795d724dbb3943d4f98fb6', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4a1c98db71cae7e1f5e8e958f809ff0ace56ba4cd2802dec6fd6cf26e242f05b', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 09:22:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a8c41a045264d67499ba8c942051331bd915a0d907795d724dbb3943d4f98fb6', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 09:22:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0a2ba1c2aaa54a6b56d02c56823e76b6eed7fa76007719e72a06e809a4cc7da0', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
