Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:22:36: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-90}
2022-07-07 09:22:41: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-07 09:22:43: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:22:43: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-88}
2022-07-07 09:22:47: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-88}
2022-07-07 09:22:51: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-87}
2022-07-07 09:22:53: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-07 09:22:53: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-83}
2022-07-07 09:22:54: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-83}
2022-07-07 09:22:56: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-76}
2022-07-07 09:22:56: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-77}
2022-07-07 09:22:58: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-07 09:22:58: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-07 09:23:00: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-75}
2022-07-07 09:23:00: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-07 09:23:02: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-64}
2022-07-07 09:23:02: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-68}
2022-07-07 09:23:04: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-73}
2022-07-07 09:23:04: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-79}
2022-07-07 09:23:06: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-72}
2022-07-07 09:23:06: {'ssid':'P11', 'bssid':'16335da31015c1e2f21157882e8b90c214f1aa66d9dfcbd47513936953f51b5e', 'sec':3, 'channel':6, 'rssi':-75}
2022-07-07 09:23:08: {'ssid':'P10', 'bssid':'e752ae03a136db49e67bf67633eb45baa709c7f02ab4222a0febe961dde4e35a', 'sec':3, 'channel':11, 'rssi':-74}
