Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 07:57:15: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:16: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:21: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:22: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '088594fac9bdde082545d5d605b0ffd5692d5e7e1ba5b324f32eff12deab383e', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-09-12 07:57:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -55, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-09-12 07:57:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8965c9ec640bc83f20ebef367c7730973c4609090941894ff25595a9b1ea7de8', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-09-12 07:57:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '608004c239bbefa41bb0c82851011d8f32dc7cfff949bf0d02050322980791e9', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
