Testing SD card write operations: 2022-09-12 07:57:14
2022-09-12 07:57:15: {'ssid':'P100', 'bssid':'1b5d62b144ab2f0b5b4a6b7709b1f9f4f4a296393daba6088984f28d73f7c75b', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-12 07:57:17: {'ssid':'P100', 'bssid':'1b5d62b144ab2f0b5b4a6b7709b1f9f4f4a296393daba6088984f28d73f7c75b', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-12 07:57:20: {'ssid':'P100', 'bssid':'1b5d62b144ab2f0b5b4a6b7709b1f9f4f4a296393daba6088984f28d73f7c75b', 'sec':3, 'channel':6, 'rssi':-46}
2022-09-12 07:57:42: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-90}
2022-09-12 07:57:42: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-90}
2022-09-12 07:58:06: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-92}
2022-09-12 07:58:14: {'ssid':'P101', 'bssid':'fdcb3639acfabf4c97af5b45afa5bdf6d9456c43543899904271ff65211262b5', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:14: {'ssid':'P102', 'bssid':'911b78eb677072ad0183aa194f717488163f9690c41a83a2a4bc0634608be174', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 07:58:14: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:14: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 07:58:16: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-86}
2022-09-12 07:58:16: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-86}
2022-09-12 07:58:19: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-83}
2022-09-12 07:58:19: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-91}
2022-09-12 07:58:23: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-83}
2022-09-12 07:58:23: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-84}
2022-09-12 07:58:23: {'ssid':'P102', 'bssid':'911b78eb677072ad0183aa194f717488163f9690c41a83a2a4bc0634608be174', 'sec':0, 'channel':1, 'rssi':-91}
2022-09-12 07:58:25: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-88}
2022-09-12 07:58:25: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:27: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-88}
2022-09-12 07:58:27: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 07:58:29: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:29: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-89}
2022-09-12 07:58:31: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 07:58:31: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-88}
2022-09-12 07:58:32: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-88}
2022-09-12 07:58:34: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-87}
2022-09-12 07:58:34: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 07:58:36: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-81}
2022-09-12 07:58:36: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-81}
2022-09-12 07:58:38: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-81}
2022-09-12 07:58:38: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-81}
2022-09-12 07:58:40: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-86}
2022-09-12 07:58:40: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-87}
2022-09-12 07:58:42: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:42: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-90}
2022-09-12 07:58:47: {'ssid':'P102', 'bssid':'6c62c394e47a5029d99ffb6a73950ac6d9b8b0997d071c0641edce5e05641d10', 'sec':0, 'channel':6, 'rssi':-90}
2022-09-12 07:58:47: {'ssid':'P101', 'bssid':'378e2ad5316a5128e2053a9f1ac095ad81d84b3fac1f5dfc0f00640b5b5d5e5e', 'sec':5, 'channel':6, 'rssi':-90}
2022-09-12 07:58:49: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-88}
2022-09-12 07:58:49: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:58:51: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-90}
2022-09-12 07:58:53: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-83}
2022-09-12 07:58:53: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-90}
2022-09-12 07:58:53: {'ssid':'P101', 'bssid':'946c69443aa1cb93aad74210a45949cb6c317617dec35156c91b6d17bebf720b', 'sec':5, 'channel':1, 'rssi':-91}
2022-09-12 07:58:57: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-12 07:58:59: {'ssid':'P102', 'bssid':'56573f937d57391794199125341942b0a11e17e0ae931db567f174f21585bc1a', 'sec':0, 'channel':1, 'rssi':-88}
2022-09-12 07:58:59: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-88}
2022-09-12 07:59:04: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-91}
2022-09-12 07:59:08: {'ssid':'P103', 'bssid':'3c0ffd075529f028bc034752e3fce124dcde5c395891ba7cb486c36177f60dd9', 'sec':3, 'channel':6, 'rssi':-88}
2022-09-12 07:59:21: {'ssid':'P104', 'bssid':'dd52eb6f77035a0b5e28af113cb74d2fede019d97cf6f02b98d3fe13d5f55202', 'sec':3, 'channel':13, 'rssi':-91}
2022-09-12 07:59:34: {'ssid':'P101', 'bssid':'c6ed56493869561d14020ec8671b33eb7b47a2372e14b4c2efb0c779a666bb32', 'sec':5, 'channel':1, 'rssi':-89}
2022-09-12 07:59:46: {'ssid':'P102', 'bssid':'9a85e4c57bd7e3c1446ef720baf57ed2348cabc44566c6403f68930404f08cbe', 'sec':0, 'channel':1, 'rssi':-85}
