Testing SD card write operations: 2022-07-07 18:58:22
2022-07-07 18:58:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:23: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36dd0e9f5cdb8f759893e179457f6cb628ab3b5c5f2970e9229f0be6e7bf53fc', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:25: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '36dd0e9f5cdb8f759893e179457f6cb628ab3b5c5f2970e9229f0be6e7bf53fc', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1712ca840c345e9b7d93d35b7e1889923ad806b8a4342e5f0602630356a449f6', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ff5892740b32cd94e67c047cade576440f4f55c712c4a86316079b285b520ca', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1712ca840c345e9b7d93d35b7e1889923ad806b8a4342e5f0602630356a449f6', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '90cb876c9fcfa02fbc37fb9c78391818c477c82de697b11bd31cc601f8cc76ec', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7ad45dff516d17e5f90851d89bf0e8e060de8f581c0e164ef5ddfd25e72cef1b', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:36: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'e4907de9f751bbf0bf35990be200d1eea3aa795b76defc6a98b69b33055376ff', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:36: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'cfd5382f77828417f2255386efb0630b22b665846ea6bb936e7c719950e9e10c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:38: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '4f2fff1846dbdd0b4b45c65bcbc985ae7ccfebd078061d97c2ac0e4521c10197', 'rssi': -85, 'name': 'Pb20', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
2022-07-07 18:58:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f38bc075c552b401575ec5abae969cc7af018c2b444dec99f3f12cfc5f8040e', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'be827ec895b911d677adaab7f07130ce5a4d185e088e652f06c59927b47bddb0', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f38bc075c552b401575ec5abae969cc7af018c2b444dec99f3f12cfc5f8040e', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:43: {'adv_flag': 24, 'def_tx_pwr': 3, 'mac': '4f2fff1846dbdd0b4b45c65bcbc985ae7ccfebd078061d97c2ac0e4521c10197', 'rssi': -87, 'name': 'Pb20', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -10, 'adv_tx_pwr': 3}
2022-07-07 18:58:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '54dcb008a9f402b2015970e0924c88c9fc70685e15f71bb4243cfc0986e27734', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -53, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1712ca840c345e9b7d93d35b7e1889923ad806b8a4342e5f0602630356a449f6', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'ea08a888ad31b9403945867fa6ef8d3460a96d3a4b6212617611737463449c7c', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d789a7db98d5e6bb8533c147d4bbedf69f1a119b9eb6137af2996cb0c68ac2f', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2096764940d6c340f6c6e26ef22b4139dd57a1f5901606908845d1f265b3f51', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:51: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'cfd5382f77828417f2255386efb0630b22b665846ea6bb936e7c719950e9e10c', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d789a7db98d5e6bb8533c147d4bbedf69f1a119b9eb6137af2996cb0c68ac2f', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e453ae2f4045d44626fc9e05642cc6bb020a8f477552897ea4cf1d8588ef4325', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d789a7db98d5e6bb8533c147d4bbedf69f1a119b9eb6137af2996cb0c68ac2f', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1549a7369d3fe8df61a4b6cf77f26015b3a45305f7ef5a99b8cebb4e254a046b', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0f5ce65ba08285f0e68c6513a99f1ba9b562843e834cccdcc803ea48ae70725a', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e453ae2f4045d44626fc9e05642cc6bb020a8f477552897ea4cf1d8588ef4325', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:58:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -51, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:58:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ff5892740b32cd94e67c047cade576440f4f55c712c4a86316079b285b520ca', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:58:59: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': 'cfd5382f77828417f2255386efb0630b22b665846ea6bb936e7c719950e9e10c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f38bc075c552b401575ec5abae969cc7af018c2b444dec99f3f12cfc5f8040e', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:59:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '54dcb008a9f402b2015970e0924c88c9fc70685e15f71bb4243cfc0986e27734', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:59:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2096764940d6c340f6c6e26ef22b4139dd57a1f5901606908845d1f265b3f51', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5d789a7db98d5e6bb8533c147d4bbedf69f1a119b9eb6137af2996cb0c68ac2f', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-07 18:59:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6a5a825437b9cfaa722eaf3c917c6db0ad272624e8d9d89182d283379c058edd', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e453ae2f4045d44626fc9e05642cc6bb020a8f477552897ea4cf1d8588ef4325', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '94da4cc58555cd41a9b646fca16faf59813c9014e839deff963864889f8f118f', 'rssi': -58, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6db0637dbed9d114131c6588aebc811003d7f91141f49e8f3e23613c93f2b41c', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1712ca840c345e9b7d93d35b7e1889923ad806b8a4342e5f0602630356a449f6', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-07 18:59:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7867206943309309222e0838f03b135e2f7f6c6441f622592718247bf8dc5bab', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '7867206943309309222e0838f03b135e2f7f6c6441f622592718247bf8dc5bab', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-07 18:59:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '90cb876c9fcfa02fbc37fb9c78391818c477c82de697b11bd31cc601f8cc76ec', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
