Testing SD card write operations: 2022-05-20 19:55:37
2022-05-20 19:55:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a2a49ef0d66f98abbdcc0f02c74c68624de0439d3302aa47b2b08307', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:42: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '12831d0f8b1ae6f18289f1de1e585f6d399696b2b0dc2454a7be4200', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:55:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:43: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:44: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b6cf3616ec21e6bca6f0afa53695847ad0046d88c54dc4ec4419cc40', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:55:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5520323ccf8c550de9c70a585d5ebd2b0d208a099d0d621af4c932c2', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:55:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2ad6192d9180e69de149dc1ab0dfd712d54f7e39ded6c71ecbbed2eb', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:55:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '920001eb9b7cd0854f33ecc33cda1e66e780bc9686a7ae8d015431f7', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:55:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '12831d0f8b1ae6f18289f1de1e585f6d399696b2b0dc2454a7be4200', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-20 19:55:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3e42c2bd333935f8de93b9aee257ec61786c99601303bdf0ed6ccbcf', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-20 19:55:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-20 19:55:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f5ff156538f28be5d37155cc7a9d36c3798bb55d378c112d5ceacc96', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-20 19:55:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '128a74228afbb875f6a9405b3bd9f494a7189c681764d8f047105c4e', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
