Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
12:55:01,"(-0.2445068, -0.4606934, 0.8122559)",16.75294,4.556237,88.95696,28.50659
12:55:01,"(-0.2181396, -0.4291992, 0.8120117)",16.90447,4.546201,87.95336,27.14576
12:55:02,"(-0.2486572, -0.4802246, 0.9005127)",15.80752,4.551219,88.45518,25.91298
12:55:03,"(-0.2125244, -0.4003906, 0.8823242)",13.54279,4.546201,87.95336,23.80579
12:55:04,"(-0.2664795, -0.4505615, 0.8421631)",18.05425,4.531147,86.44797,27.21116
12:55:05,"(-0.2426758, -0.4645996, 0.894043)",16.86907,4.546201,87.95336,26.61228
12:55:06,"(-0.1862793, -0.4053955, 0.8520508)",12.33223,4.551219,88.45518,24.92945
12:55:07,"(-0.2176514, -0.4438477, 0.925415)",13.23504,4.546201,87.95336,25.02697
12:55:08,"(-0.2036133, -0.449707, 0.960083)",11.97381,4.551219,88.45518,26.22019
12:55:08,"(-0.1883545, -0.4101563, 0.8068848)",13.1395,4.551219,88.45518,26.33599
12:55:09,"(-0.1721191, -0.4084473, 0.8258057)",11.77336,4.546201,87.95336,25.83623
12:55:10,"(-0.1671143, -0.4039307, 0.894165)",10.58612,4.546201,87.95336,24.16563
12:55:11,"(-0.1724854, -0.3876953, 0.899292)",10.85754,4.551219,88.45518,22.94752
12:55:12,"(-0.206543, -0.4580078, 0.9351807)",12.45435,4.551219,88.45518,25.55845
12:55:13,"(-0.1656494, -0.4119873, 0.8792725)",10.66911,4.551219,88.45518,24.22589
12:55:14,"(-0.2279053, -0.4362793, 0.979126)",13.10308,4.546201,87.95336,23.45984
12:55:15,"(-0.2028809, -0.4171143, 0.9290771)",12.31821,4.546201,87.95336,23.6832
12:55:15,"(-0.1783447, -0.4539795, 0.8503418)",11.84513,4.551219,88.45518,23.5623
12:55:16,"(-0.210083, -0.4383545, 0.8833008)",13.37858,4.551219,88.45518,25.7713
12:55:17,"(-0.1829834, -0.3295898, 0.7322998)",14.0295,4.561255,89.45872,23.58847
12:55:18,"(-0.2412109, -0.449585, 0.9401855)",14.38927,4.546201,87.95336,26.33872
12:55:19,"(-0.1918945, -0.4786377, 0.996582)",10.89906,4.546201,87.95336,25.24931
12:55:20,"(-0.1873779, -0.4471436, 0.8922119)",11.8606,4.551219,88.45518,26.12626
12:55:21,"(-0.178833, -0.4472656, 0.9368896)",10.80659,4.551219,88.45518,27.7166
12:55:21,"(-0.189209, -0.4029541, 0.8808594)",12.12295,4.546201,87.95336,24.09677
12:55:22,"(-0.1391602, -0.4387207, 0.7810059)",10.10297,4.551219,88.45518,28.94381
12:55:23,"(-0.1694336, -0.4152832, 0.9735107)",11.87816,4.546201,87.95336,23.60243
12:55:24,"(-0.1877441, -0.4713135, 0.9197998)",11.53641,4.551219,88.45518,26.65926
12:55:25,"(-0.1717529, -0.3563232, 0.8858643)",10.97247,4.546201,87.95336,21.54802
12:55:26,"(-0.2580566, -0.3686523, 0.8575439)",15.02128,4.546201,87.95336,20.18668
12:55:27,"(-0.2393799, -0.37854, 0.8630371)",19.3315,4.551219,88.45518,20.95798
12:55:28,"(-0.2537842, -0.3491211, 0.9066162)",15.63824,4.546201,87.95336,20.34613
12:55:28,"(-0.2835693, -0.2813721, 0.9272461)",13.92971,4.551219,88.45518,16.41103
12:55:29,"(-0.2645264, -0.3347168, 0.8371582)",18.51762,4.546201,87.95336,20.76294
12:55:30,"(-0.2977295, -0.2889404, 0.9880371)",16.76936,4.551219,88.45518,16.03643
12:55:31,"(-0.229248, -0.3032227, 0.8581543)",14.95678,4.546201,87.95336,18.84846
12:55:32,"(-0.2385254, -0.3155518, 0.8754883)",15.24025,4.546201,87.95336,19.17532
12:55:33,"(-0.1940918, -0.2966309, 0.9450684)",11.31825,4.546201,87.95336,18.21522
12:55:34,"(-0.08288574, -0.4416504, 0.890625)",5.316899,4.551219,88.45518,26.27806
12:55:35,"(-0.03686523, -0.4591064, 0.9033203)",2.33699,4.551219,88.45518,26.9224
12:55:35,"(0.01159668, -0.3880615, 0.9659424)",-2.170741,4.546201,87.95336,21.49947
12:55:36,"(-0.03869629, -0.4554443, 0.9158936)",2.419294,4.551219,88.45518,24.80964
12:55:37,"(-0.2116699, -0.4923096, 0.8856201)",13.44196,4.551219,88.45518,28.64865
12:55:38,"(-0.2252197, -0.4824219, 0.8284912)",15.20796,4.551219,88.45518,29.33154
12:55:39,"(-0.355957, -0.4620361, 0.8041992)",23.87528,4.546201,87.95336,28.12492
12:55:40,"(-0.4008789, -0.4903564, 0.7797852)",27.21308,4.551219,88.45518,28.57115
12:55:41,"(-0.460083, -0.4899902, 0.7615967)",31.13631,4.551219,88.45518,28.84104
12:55:42,"(-0.4036865, -0.5142822, 0.7189941)",29.30214,4.551219,88.45518,30.07408
12:55:42,"(-0.4779053, -0.5240479, 0.7513428)",32.45914,4.551219,88.45518,30.60037
12:55:43,"(-0.4708252, -0.4925537, 0.7923584)",30.71909,4.546201,87.95336,28.12023
12:55:44,"(-0.4488525, -0.4852295, 0.7672119)",30.3295,4.551219,88.45518,29.20328
12:55:45,"(-0.4633789, -0.5341797, 0.8691406)",28.06413,4.551219,88.45518,28.49139
12:55:46,"(-0.3621826, -0.4697266, 0.7558594)",25.60219,4.551219,88.45518,29.26761
12:55:47,"(-0.1914063, -0.4018555, 0.8145752)",13.22329,4.551219,88.45518,25.6527
12:55:48,"(-0.135376, -0.3569336, 0.9016113)",8.53911,4.546201,87.95336,22.72158
12:55:48,"(-0.0456543, -0.3275146, 0.9144287)",2.858209,4.551219,88.45518,19.68302
12:55:49,"(-0.01501465, -0.3474121, 0.9901123)",0.8688004,4.546201,87.95336,19.33297
12:55:50,"(0.03015137, -0.2927246, 0.9650879)",-3.255912,4.556237,88.95696,16.59107
12:55:51,"(0.06958008, -0.3641357, 1.014038)",-3.925302,4.546201,87.95336,19.71018
12:55:52,"(-0.03149414, -0.4747314, 0.9405518)",1.917818,4.551219,88.45518,26.76886
12:55:53,"(-0.06054688, -0.4711914, 0.8388672)",3.902454,4.546201,87.95336,29.71192
12:55:54,"(-0.1756592, -0.5731201, 0.8725586)",11.38236,4.551219,88.45518,32.77783
12:55:54,"(-0.2775879, -0.5961914, 0.8536377)",18.01361,4.546201,87.95336,33.59126
12:55:55,"(-0.2148438, -0.4864502, 0.7843018)",14.93574,4.551219,88.45518,29.45917
12:55:56,"(-0.173584, -0.4655762, 0.9919434)",9.925902,4.546201,87.95336,24.81261
12:55:57,"(-0.1877441, -0.4206543, 0.9650879)",11.00858,4.551219,88.45518,23.1637
12:55:58,"(-0.1691895, -0.4718018, 0.9996338)",9.423125,4.546201,87.95336,25.38562
12:55:59,"(-0.2127686, -0.4093018, 0.9090576)",13.17317,4.551219,88.45518,23.67267
12:56:00,"(-0.1739502, -0.3828125, 0.9416504)",10.46621,4.551219,88.45518,21.79004
12:56:01,"(-0.223877, -0.6313477, 0.9799805)",12.86841,4.556237,88.95696,32.13147
12:56:01,"(-0.3526611, -0.6154785, 1.025635)",19.68348,4.546201,87.95336,22.19096
12:56:02,"(-0.1051025, -0.4346924, 0.8044434)",7.863576,4.551219,88.45518,21.23654
12:56:03,"(-0.2330322, -0.477417, 1.048218)",12.53375,4.551219,88.45518,23.97001
12:56:04,"(-0.2559814, -0.588501, 0.9368896)",15.28164,4.551219,88.45518,31.21307
12:56:05,"(-0.331665, -0.699585, 0.9532471)",13.01123,4.551219,88.45518,11.92764
12:56:06,"(-0.2061768, -0.3859863, 0.9193115)",12.64073,4.546201,87.95336,21.53843
12:56:07,"(-0.1998291, -0.4039307, 0.9562988)",11.80275,4.551219,88.45518,23.10333
12:56:08,"(-0.1345215, -0.3843994, 0.871582)",8.773898,4.551219,88.45518,23.5512
12:56:08,"(-0.1091309, -0.3764648, 0.9472656)",6.870175,4.551219,88.45518,20.97334
12:56:09,"(-0.07629395, -0.3496094, 0.9190674)",4.73411,4.551219,88.45518,20.49106
12:56:10,"(-0.004882813, -0.2983398, 1.164673)",0.2402073,4.546201,87.95336,14.36769
12:56:11,"(-0.03845215, -0.3762207, 0.9342041)",2.383417,4.551219,88.45518,24.55668
12:56:12,"(-0.07543945, -0.4599609, 0.9301758)",4.546199,4.546201,87.95336,25.88542
12:56:13,"(-0.06140137, -0.3736572, 0.9364014)",3.751607,4.546201,87.95336,22.10107
12:56:14,"(-0.02636719, -0.3864746, 0.9852295)",1.533011,4.551219,88.45518,21.41155
12:56:14,"(-0.008666992, -0.5209961, 0.7670898)",0.6473309,4.551219,88.45518,34.18206
12:56:15,"(0.3729248, 0.01879883, 0.2058105)",-112.6531,4.491004,82.43363,-21.31434
12:56:16,"(-0.03186035, -0.348877, 0.9449463)",1.931086,4.506058,83.93905,20.25372
12:56:17,"(-0.08642578, -0.3780518, 0.9229736)",6.149096,4.531147,86.44797,21.80177
