Testing SD card write operations: 2022-06-27 12:55:01
2022-06-27 12:55:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -94, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'db0f1b36ae020a1ce175827762187302a0bab04e6487ff38b303acdda51b91b9', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '6a734eed8f99bc1bc54df7750e6fc81fad3fb1346af6ca118114007f8ac3874e', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '9f9739469fbf8b657bc74fe1f2a94744d391b76946bd34499e128a16bf9acf51', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-27 12:55:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -66, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-27 12:55:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '6fd6ce3aca87615e8a5e9cf5eb71decd0cc5afeb93c03be301715a740274b9f3', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
