Testing SD card write operations: 2022-07-01 13:03:13
2022-07-01 13:03:13: {'Acceleration': '(-0.5303955, -0.1804199, 0.8612061)', 'Roll': '31.57358', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.12059'}
2022-07-01 13:03:14: {'Acceleration': '(-0.5269775, -0.1783447, 0.8653564)', 'Roll': '31.34023', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '9.925483'}
2022-07-01 13:03:15: {'Acceleration': '(-0.5327148, -0.1804199, 0.8597412)', 'Roll': '31.78328', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.11434'}
2022-07-01 13:03:16: {'Acceleration': '(-0.5302734, -0.1800537, 0.8527832)', 'Roll': '31.87397', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.1651'}
2022-07-01 13:03:17: {'Acceleration': '(-0.5361328, -0.1820068, 0.8536377)', 'Roll': '31.65135', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.12012'}
2022-07-01 13:03:18: {'Acceleration': '(-0.5366211, -0.1774902, 0.8582764)', 'Roll': '32.0149', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '10.15914'}
2022-07-01 13:03:18: {'Acceleration': '(-0.5350342, -0.1796875, 0.8577881)', 'Roll': '31.95332', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '9.95697'}
2022-07-01 13:03:19: {'Acceleration': '(-0.4608154, -0.2132568, 0.8032227)', 'Roll': '29.84325', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '12.96873'}
2022-07-01 13:03:20: {'Acceleration': '(-0.397583, -0.19104, 0.84021)', 'Roll': '26.67483', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '11.51317'}
2022-07-01 13:03:21: {'Acceleration': '(-0.5216064, -0.2600098, 0.8466797)', 'Roll': '31.63561', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.65253'}
2022-07-01 13:03:22: {'Acceleration': '(-0.4931641, -0.2927246, 0.8463135)', 'Roll': '30.09907', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.48488'}
2022-07-01 13:03:23: {'Acceleration': '(-0.4885254, -0.2803955, 0.8504639)', 'Roll': '29.87402', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.83923'}
2022-07-01 13:03:24: {'Acceleration': '(-0.4805908, -0.2658691, 0.8613281)', 'Roll': '29.15998', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.79504'}
2022-07-01 13:03:24: {'Acceleration': '(-0.4859619, -0.2615967, 0.8653564)', 'Roll': '29.31744', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.76623'}
2022-07-01 13:03:25: {'Acceleration': '(-0.4853516, -0.265625, 0.8668213)', 'Roll': '29.22373', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.0937'}
2022-07-01 13:03:26: {'Acceleration': '(-0.4857178, -0.2668457, 0.8660889)', 'Roll': '29.63344', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.90718'}
2022-07-01 13:03:27: {'Acceleration': '(-0.4926758, -0.2651367, 0.8540039)', 'Roll': '29.85708', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.92454'}
2022-07-01 13:03:28: {'Acceleration': '(-0.4865723, -0.272583, 0.8509521)', 'Roll': '29.76081', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.58756'}
2022-07-01 13:03:29: {'Acceleration': '(-0.4857178, -0.2739258, 0.8547363)', 'Roll': '29.6081', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.5696'}
2022-07-01 13:03:30: {'Acceleration': '(-0.4910889, -0.2709961, 0.8613281)', 'Roll': '29.46866', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.31876'}
2022-07-01 13:03:30: {'Acceleration': '(-0.4871826, -0.2783203, 0.8551025)', 'Roll': '29.67172', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.79108'}
2022-07-01 13:03:31: {'Acceleration': '(-0.4920654, -0.2728271, 0.862793)', 'Roll': '29.77908', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.3128'}
2022-07-01 13:03:32: {'Acceleration': '(-0.5047607, -0.2705078, 0.8508301)', 'Roll': '30.67882', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '15.4206'}
2022-07-01 13:03:33: {'Acceleration': '(-0.5291748, -0.2548828, 0.8597412)', 'Roll': '31.61249', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '14.63435'}
2022-07-01 13:03:34: {'Acceleration': '(-0.5012207, -0.2941895, 0.8449707)', 'Roll': '30.67562', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '16.67013'}
2022-07-01 13:03:35: {'Acceleration': '(-0.4389648, -0.3770752, 0.845459)', 'Roll': '28.29187', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '20.80728'}
2022-07-01 13:03:36: {'Acceleration': '(-0.4545898, -0.3364258, 0.8522949)', 'Roll': '28.07419', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '19.20246'}
2022-07-01 13:03:36: {'Acceleration': '(-0.4511719, -0.2741699, 0.885498)', 'Roll': '26.99939', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.00988'}
2022-07-01 13:03:37: {'Acceleration': '(-0.4418945, -0.3076172, 0.9261475)', 'Roll': '25.5073', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.13018'}
2022-07-01 13:03:38: {'Acceleration': '(-0.5982666, -0.1977539, 0.8016357)', 'Roll': '36.73425', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '10.33755'}
2022-07-01 13:03:39: {'Acceleration': '(-0.5909424, -0.3210449, 0.9016113)', 'Roll': '33.242', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.58412'}
2022-07-01 13:03:40: {'Acceleration': '(-0.5102539, -0.3345947, 0.8737793)', 'Roll': '31.86146', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.24645'}
2022-07-01 13:03:41: {'Acceleration': '(-0.4760742, -0.2888184, 0.8643799)', 'Roll': '28.84464', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.31359'}
2022-07-01 13:03:42: {'Acceleration': '(-0.4876709, -0.2767334, 0.8653564)', 'Roll': '28.9854', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '15.7255'}
2022-07-01 13:03:42: {'Acceleration': '(-0.4790039, -0.2789307, 0.8569336)', 'Roll': '29.20407', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '15.53354'}
2022-07-01 13:03:43: {'Acceleration': '(-0.4836426, -0.2694092, 0.8547363)', 'Roll': '29.93651', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '14.93301'}
2022-07-01 13:03:44: {'Acceleration': '(-0.4541016, -0.3022461, 0.8620605)', 'Roll': '27.7786', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '16.5948'}
