Testing SD card write operations: 2022-07-01 13:02:45
2022-07-01 13:02:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -60, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:46: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fc92bcc3432f', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:02:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7c44358a325d', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fc92bcc3432f', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:02:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -59, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:02:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'794d41893af5', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
