Testing SD card write operations: 2022-07-01 13:02:44
2022-07-01 13:02:44: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-01 13:02:44: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-71}
2022-07-01 13:02:44: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-75}
2022-07-01 13:02:44: {'ssid':'P53', 'bssid':'de71fbc485849bef79d6b0d94f9f3898acc013a3156eb77dcd529c6e', 'sec':0, 'channel':8, 'rssi':-88}
2022-07-01 13:02:44: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-95}
2022-07-01 13:02:46: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:02:46: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-73}
2022-07-01 13:02:46: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-76}
2022-07-01 13:02:48: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-54}
2022-07-01 13:02:48: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-72}
2022-07-01 13:02:48: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-85}
2022-07-01 13:02:48: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-93}
2022-07-01 13:02:50: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-46}
2022-07-01 13:02:50: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-70}
2022-07-01 13:02:50: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-75}
2022-07-01 13:02:50: {'ssid':'P54', 'bssid':'8a0dd8d611b000d19a356c0b8581459630c58363158f783100f9fabf', 'sec':4, 'channel':11, 'rssi':-94}
2022-07-01 13:02:52: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-01 13:02:52: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-01 13:02:52: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-69}
2022-07-01 13:02:54: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:02:54: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-62}
2022-07-01 13:02:54: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-01 13:02:54: {'ssid':'P51', 'bssid':'7ea85b9e8e14227aa4c4b1d10d5bd339835a78fddfaadf39e79a4371', 'sec':3, 'channel':11, 'rssi':-84}
2022-07-01 13:02:55: {'ssid':'P50', 'bssid':'1dcab9b5e405cd7fb70026163b382b184ccc9fe52fcf5885385d6443', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-01 13:02:55: {'ssid':'P51', 'bssid':'d763505c5bd96209707e23aa15b8dd035019cabb4a0fe279c055d31e', 'sec':3, 'channel':6, 'rssi':-67}
2022-07-01 13:02:55: {'ssid':'P52', 'bssid':'7f7fed12b167a47dc0a33659f402718484e01765c0ed5728905de628', 'sec':3, 'channel':10, 'rssi':-75}
