Testing SD card write operations: 2022-05-21 10:26:43
2022-05-21 10:26:44: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'7c010afa21ac', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'63f8a86611c9', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-21 10:26:46: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'c6c67487a324', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -48, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:26:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e74c7353fe69', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'16cb19311e4f', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'de2dffe2e780', 'rssi': -46, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'4d691b3fa2c4', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-21 10:26:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'611e99f1d1c8', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 26, 'adv_tx_pwr': 3}
2022-05-21 10:26:54: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'16cb19311e4f', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'72a59a398ebb', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:26:56: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -38, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:26:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:58: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:26:59: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'16cb19311e4f', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'61d272d7c983', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-21 10:27:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'53fb8bb04bd5', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'fbf933269be6', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'72a59a398ebb', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'1b6030c70774', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'74783e42ec26', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7e6eddc74bc6', 'rssi': -39, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-21 10:27:05: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': b'103d0a4a70af', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-21 10:27:06: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': b'5cf821ffe2a4', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
