Testing SD card write operations: 2022-05-21 10:26:42
2022-05-21 10:26:44: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-21 10:26:44: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-68}
2022-05-21 10:26:44: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-74}
2022-05-21 10:26:44: {'ssid':'P62', 'bssid':'136e57471ae7f7ad469b1f8cb65556b71ea243eae5c14d75b564a1a6c2698311', 'sec':4, 'channel':4, 'rssi':-76}
2022-05-21 10:26:44: {'ssid':'P62', 'bssid':'3ab234bab04dfb1dcfe022f68e4caa9488a3853e6f10c9d19611d3fafb69d4ea', 'sec':3, 'channel':4, 'rssi':-77}
2022-05-21 10:26:44: {'ssid':'P63', 'bssid':'a19096e2fddfe105b302b37054bc39175de238eca5c303861dd3aa02951564e2', 'sec':3, 'channel':5, 'rssi':-77}
2022-05-21 10:26:44: {'ssid':'P64', 'bssid':'49c2f85516da1ac110f55d19d8954f030a5a87fb1e5aca647533edd58dbf7c3a', 'sec':2, 'channel':11, 'rssi':-80}
2022-05-21 10:26:44: {'ssid':'P65', 'bssid':'48922ee94bab276570425975661bc7b4a55a553fd6edf5eed59dbb3169a12e98', 'sec':3, 'channel':1, 'rssi':-81}
2022-05-21 10:26:44: {'ssid':'P66', 'bssid':'2c670a73159247bddfa25cdbcfca206310152545cace9f5c836196a3dbe02f28', 'sec':3, 'channel':5, 'rssi':-86}
2022-05-21 10:26:44: {'ssid':'P66', 'bssid':'80bcd244e033e1ea3ed6b7f6933ed2a2c39d62d82b44a5bd9c6c8f89d53905d3', 'sec':3, 'channel':13, 'rssi':-87}
2022-05-21 10:26:44: {'ssid':'P67', 'bssid':'fcff1553cd3c54952932eb3bc8591eae8192637a43ebb672c473c9f1ea6f8f0d', 'sec':0, 'channel':13, 'rssi':-93}
2022-05-21 10:26:45: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-48}
2022-05-21 10:26:45: {'ssid':'P68', 'bssid':'d43c2ee594be2c39d07d913f416107ef6bb45ce0dba30635ab8f930eeaa9159d', 'sec':3, 'channel':5, 'rssi':-71}
2022-05-21 10:26:45: {'ssid':'P66', 'bssid':'4337135f0f2d3d618c6ef84149499ebffbbae61bda73b3f915a736539e705bfe', 'sec':3, 'channel':5, 'rssi':-72}
2022-05-21 10:26:45: {'ssid':'P62', 'bssid':'3ab234bab04dfb1dcfe022f68e4caa9488a3853e6f10c9d19611d3fafb69d4ea', 'sec':3, 'channel':4, 'rssi':-76}
2022-05-21 10:26:45: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-76}
2022-05-21 10:26:45: {'ssid':'P61', 'bssid':'88e9094b352969fb4ccec603824148b50c89dfdc48fd8ac685eab14514397538', 'sec':0, 'channel':9, 'rssi':-78}
2022-05-21 10:26:45: {'ssid':'P69', 'bssid':'6f8a0927e1e06cc634d51ba2f813b25fe0fc41990febcfa94359e7912439bbe8', 'sec':5, 'channel':13, 'rssi':-83}
2022-05-21 10:26:45: {'ssid':'P63', 'bssid':'6e1a6a5fcf7725ad5ab63ae6225b58d438cba4fec82e423e45441149a7c5c437', 'sec':3, 'channel':13, 'rssi':-83}
2022-05-21 10:26:45: {'ssid':'P66', 'bssid':'0a27df65e336b75d3bafda6eb54009191fdbfcc6d59e8dbe3b4ea16e8305e806', 'sec':3, 'channel':13, 'rssi':-84}
2022-05-21 10:26:45: {'ssid':'P68', 'bssid':'d5b9d021e6fac9231bc4acb492bc1dd61fb8b307ab8f12061d438ee5504b75e4', 'sec':3, 'channel':13, 'rssi':-84}
2022-05-21 10:26:47: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-21 10:26:47: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-67}
2022-05-21 10:26:47: {'ssid':'P68', 'bssid':'d43c2ee594be2c39d07d913f416107ef6bb45ce0dba30635ab8f930eeaa9159d', 'sec':3, 'channel':5, 'rssi':-69}
2022-05-21 10:26:47: {'ssid':'P63', 'bssid':'d83c430665271fcc02e67e6beac22cb7760e9f211f2518819ed7eed44ce9d316', 'sec':3, 'channel':5, 'rssi':-69}
2022-05-21 10:26:47: {'ssid':'P66', 'bssid':'4337135f0f2d3d618c6ef84149499ebffbbae61bda73b3f915a736539e705bfe', 'sec':3, 'channel':5, 'rssi':-70}
2022-05-21 10:26:47: {'ssid':'P69', 'bssid':'a089d15d5b3c14f4ae925df1492d14f6b322a6d8c8674958ecd0276007339c17', 'sec':5, 'channel':5, 'rssi':-70}
2022-05-21 10:26:47: {'ssid':'P67', 'bssid':'661be8fb21873d3185eb4f4320d25b613e6fd633cf88673f8231e9c31757898c', 'sec':0, 'channel':5, 'rssi':-71}
2022-05-21 10:26:47: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-79}
2022-05-21 10:26:47: {'ssid':'P61', 'bssid':'88e9094b352969fb4ccec603824148b50c89dfdc48fd8ac685eab14514397538', 'sec':0, 'channel':9, 'rssi':-83}
2022-05-21 10:26:47: {'ssid':'P69', 'bssid':'6f8a0927e1e06cc634d51ba2f813b25fe0fc41990febcfa94359e7912439bbe8', 'sec':5, 'channel':13, 'rssi':-84}
2022-05-21 10:26:47: {'ssid':'P67', 'bssid':'b64233ae6aae1d541f538a9cdfaa0eceb940981bbecf2e88c2c9bf01c96e0a55', 'sec':0, 'channel':13, 'rssi':-84}
2022-05-21 10:26:47: {'ssid':'P610', 'bssid':'6c2fb1ffed0ca69e3c21b6a6909b330b56a4a0a8d7077cd207140295a700fdaa', 'sec':3, 'channel':1, 'rssi':-85}
2022-05-21 10:26:47: {'ssid':'P611', 'bssid':'54e73e745e0c888e715edf353300546f083b7b5f9bac528382ca3c9f5adb8f3f', 'sec':4, 'channel':11, 'rssi':-85}
2022-05-21 10:26:47: {'ssid':'P67', 'bssid':'46855325792676cdde4939f086fc0ac008fac09d4a6e61b2bcc055fbd9d372d5', 'sec':0, 'channel':13, 'rssi':-85}
2022-05-21 10:26:47: {'ssid':'P67', 'bssid':'cac7bd3c7ba984b162efabb191833617cdd3f5cdfa78355cbad7a229e8a0097f', 'sec':0, 'channel':13, 'rssi':-85}
2022-05-21 10:26:47: {'ssid':'P66', 'bssid':'2c670a73159247bddfa25cdbcfca206310152545cace9f5c836196a3dbe02f28', 'sec':3, 'channel':5, 'rssi':-86}
2022-05-21 10:26:47: {'ssid':'P68', 'bssid':'dc77977c37f7916426ddbf502cce04b2583789847802a6974996500d7e1c7255', 'sec':3, 'channel':5, 'rssi':-87}
2022-05-21 10:26:47: {'ssid':'P612', 'bssid':'00bf3ef74648cf35880434b6ac53ca6577165882e38222ebf2f91087fa430b64', 'sec':5, 'channel':9, 'rssi':-91}
2022-05-21 10:26:47: {'ssid':'P613', 'bssid':'e58a21cb0581ec680934f569d0abe11b9a87ffb4c8fa1d0f81dbe2702e5fdf87', 'sec':3, 'channel':4, 'rssi':-94}
2022-05-21 10:26:50: {'ssid':'P60', 'bssid':'62bcc1ff7a123a2b1432f3f8b08fbcfa3c0696ea037b38442444be8b3e2bc357', 'sec':3, 'channel':6, 'rssi':-45}
2022-05-21 10:26:50: {'ssid':'P61', 'bssid':'7994e1d55e270023b1edd16e8675b8d5e5119c564d78cc2df6d90de2db9014d8', 'sec':0, 'channel':9, 'rssi':-66}
2022-05-21 10:26:50: {'ssid':'P67', 'bssid':'661be8fb21873d3185eb4f4320d25b613e6fd633cf88673f8231e9c31757898c', 'sec':0, 'channel':5, 'rssi':-67}
2022-05-21 10:26:50: {'ssid':'P66', 'bssid':'4337135f0f2d3d618c6ef84149499ebffbbae61bda73b3f915a736539e705bfe', 'sec':3, 'channel':5, 'rssi':-68}
2022-05-21 10:26:50: {'ssid':'P62', 'bssid':'3ab234bab04dfb1dcfe022f68e4caa9488a3853e6f10c9d19611d3fafb69d4ea', 'sec':3, 'channel':4, 'rssi':-72}
2022-05-21 10:26:50: {'ssid':'P61', 'bssid':'6757e50fa194a9a9ab921adeec5f85610c44fb6dc6befb9ae9a1f352b270d2fe', 'sec':0, 'channel':9, 'rssi':-77}
2022-05-21 10:26:50: {'ssid':'P610', 'bssid':'6c2fb1ffed0ca69e3c21b6a6909b330b56a4a0a8d7077cd207140295a700fdaa', 'sec':3, 'channel':1, 'rssi':-78}
2022-05-21 10:26:50: {'ssid':'P614', 'bssid':'a31fec0712e0403ba7aec76cbf56de9027f8899201b452b5b54ec62074f91cc5', 'sec':3, 'channel':1, 'rssi':-78}
