Time,adv_flag,def_tx_pwr,mac,rssi,name,scan_tx_pwr,conn_tx_pwr,tx_range,adv_tx_pwr
21:40:47,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-33,,3,64,12.0,3
21:40:47,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-36,,3,64,,3
21:40:48,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-64,,3,64,12.0,3
21:40:49,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:40:50,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-37,,3,64,12.0,3
21:40:50,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-65,,3,64,12.0,3
21:40:51,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-56,,3,64,,3
21:40:52,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-61,,3,64,12.0,3
21:40:53,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-54,,3,64,12.0,3
21:40:54,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:40:54,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-65,,3,64,12.0,3
21:40:55,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-70,,3,64,,3
21:40:56,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-65,,3,64,12.0,3
21:40:57,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-68,,3,64,12.0,3
21:40:58,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:40:58,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-74,,3,64,12.0,3
21:40:59,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-76,,3,64,,3
21:41:00,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-74,,3,64,12.0,3
21:41:01,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:41:02,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-76,,3,64,12.0,3
21:41:02,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-74,,3,64,12.0,3
21:41:03,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-82,,3,64,,3
21:41:04,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-81,,3,64,12.0,3
21:41:05,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:41:06,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:06,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:07,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-79,,3,64,,3
21:41:08,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-81,,3,64,12.0,3
21:41:09,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-80,,3,64,12.0,3
21:41:09,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-78,,3,64,12.0,3
21:41:10,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-75,,3,64,,3
21:41:11,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-79,,3,64,12.0,3
21:41:12,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-82,,3,64,12.0,3
21:41:13,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-76,,3,64,12.0,3
21:41:13,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-65,,3,64,12.0,3
21:41:14,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-81,,3,64,12.0,3
21:41:15,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-69,,3,64,12.0,3
21:41:16,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-69,,3,64,12.0,3
21:41:17,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-77,,3,64,12.0,3
21:41:17,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-74,,3,64,12.0,3
21:41:18,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:19,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-80,,3,64,12.0,3
21:41:20,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-67,,3,64,12.0,3
21:41:21,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-76,,3,64,12.0,3
21:41:21,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:22,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-74,,3,64,12.0,3
21:41:23,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-73,,3,64,12.0,3
21:41:24,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-69,,3,64,12.0,3
21:41:25,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-82,,3,64,12.0,3
21:41:25,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-73,,3,64,12.0,3
21:41:26,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:27,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:28,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-87,,3,64,12.0,3
21:41:28,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-81,,3,64,12.0,3
21:41:29,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:30,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-76,,3,64,12.0,3
21:41:31,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:32,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-78,,3,64,12.0,3
21:41:32,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:33,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-80,,3,64,12.0,3
21:41:34,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:41:35,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-80,,3,64,12.0,3
21:41:36,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:36,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-73,,3,64,12.0,3
21:41:37,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-79,,3,64,12.0,3
21:41:38,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:39,,3,1f8dde65cdf4c289131d671914514ce3679e6521172c1ce94bb1c149b8a30389,-91,,3,64,,3
21:41:40,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:41:40,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-77,,3,64,12.0,3
21:41:41,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:41:42,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-72,,3,64,12.0,3
21:41:43,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-78,,3,64,12.0,3
21:41:44,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-73,,3,64,,3
21:41:44,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:41:45,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-79,,3,64,12.0,3
21:41:46,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-57,,3,64,12.0,3
21:41:47,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:41:48,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-62,,3,64,12.0,3
21:41:48,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-81,,3,64,,3
21:41:49,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-87,,3,64,12.0,3
21:41:50,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:41:51,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-64,,3,64,,3
21:41:51,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-84,,3,64,,3
21:41:52,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-71,,3,64,12.0,3
21:41:53,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-71,,3,64,,3
21:41:54,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:41:55,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-64,,3,64,12.0,3
21:41:55,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-73,,3,64,12.0,3
21:41:56,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-71,,3,64,,3
21:41:57,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-67,,3,64,12.0,3
21:41:58,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:41:59,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-78,,3,64,12.0,3
21:41:59,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-68,,3,64,12.0,3
21:42:00,,3,709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315,-72,,3,64,,3
21:42:01,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-77,,3,64,12.0,3
21:42:02,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-77,,3,64,12.0,3
21:42:03,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-80,,3,64,12.0,3
21:42:03,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-73,,3,64,12.0,3
21:42:04,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-67,,3,64,12.0,3
21:42:05,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:42:06,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-64,,3,64,12.0,3
21:42:07,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-70,,3,64,12.0,3
21:42:07,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:42:08,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-83,,3,64,12.0,3
21:42:09,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-79,,3,64,12.0,3
21:42:10,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:42:10,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-77,,3,64,12.0,3
21:42:11,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:42:12,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
21:42:13,26.0,3,d89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120,-75,,3,64,12.0,3
