Testing SD card write operations: 2022-06-04 21:40:46
2022-06-04 21:40:46: {'Acceleration': '(-0.007202148, 0.02819824, 0.5634766)', 'Roll': '0.7322935', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-4.940105'}
2022-06-04 21:40:47: {'Acceleration': '(-0.5117188, -0.02294922, 1.528076)', 'Roll': '18.51455', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.8158978'}
2022-06-04 21:40:48: {'Acceleration': '(0.1143799, -0.06933594, 0.5942383)', 'Roll': '-9.9704', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '1.351269'}
2022-06-04 21:40:49: {'Acceleration': '(-0.6868896, 0.4625244, 1.255127)', 'Roll': '28.69043', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-17.9142'}
2022-06-04 21:40:50: {'Acceleration': '(0.0925293, 0.07177734, 0.8865967)', 'Roll': '-5.958081', 'battery_voltage': 4.57129, 'battery_percentage': 90.46233, 'Pitch': '-4.603579'}
2022-06-04 21:40:51: {'Acceleration': '(-0.078125, 0.1784668, 0.8612061)', 'Roll': '5.183445', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-1.607476'}
2022-06-04 21:40:52: {'Acceleration': '(-0.2214355, 0.0189209, 1.099487)', 'Roll': '9.909206', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-9.445934'}
2022-06-04 21:40:53: {'Acceleration': '(-0.2216797, -0.369751, 0.7816162)', 'Roll': '15.83424', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '24.47072'}
2022-06-04 21:40:54: {'Acceleration': '(-0.078125, -0.2545166, 1.309692)', 'Roll': '9.218006', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.955696'}
2022-06-04 21:40:55: {'Acceleration': '(-0.2758789, -0.1173096, 0.958374)', 'Roll': '16.05907', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.430326'}
2022-06-04 21:40:56: {'Acceleration': '(-0.1309814, -0.1619873, 0.9787598)', 'Roll': '7.622258', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.315844'}
2022-06-04 21:40:57: {'Acceleration': '(-0.1601563, -0.1646729, 0.9842529)', 'Roll': '9.242087', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '9.55088'}
2022-06-04 21:40:58: {'Acceleration': '(-0.1363525, -0.1711426, 0.9780273)', 'Roll': '7.936783', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.647805'}
2022-06-04 21:40:59: {'Acceleration': '(-0.1478271, -0.1690674, 0.9855957)', 'Roll': '8.862906', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.619647'}
2022-06-04 21:41:00: {'Acceleration': '(-0.1402588, -0.3344727, 1.099854)', 'Roll': '7.267416', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '18.00652'}
2022-06-04 21:41:01: {'Acceleration': '(-0.1143799, 0.07885742, 1.09314)', 'Roll': '5.973366', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.103756'}
2022-06-04 21:41:02: {'Acceleration': '(-0.08789063, 0.2897949, 0.8798828)', 'Roll': '4.841163', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-9.616809'}
2022-06-04 21:41:03: {'Acceleration': '(-0.2005615, -0.07519531, 1.520752)', 'Roll': '7.512988', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.806487'}
2022-06-04 21:41:04: {'Acceleration': '(-0.2844238, -0.4075928, 0.779541)', 'Roll': '20.04503', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '26.15978'}
2022-06-04 21:41:05: {'Acceleration': '(-0.3348389, -0.2293701, 1.222412)', 'Roll': '15.50289', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.617046'}
2022-06-04 21:41:06: {'Acceleration': '(0.07470703, -0.07519531, 0.5170898)', 'Roll': '-8.220976', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.190102'}
2022-06-04 21:41:07: {'Acceleration': '(-0.6639404, 0.02331543, 1.159668)', 'Roll': '29.79227', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.9995954'}
2022-06-04 21:41:08: {'Acceleration': '(0.09606934, -0.08435059, 0.7681885)', 'Roll': '-7.128378', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.107289'}
2022-06-04 21:41:09: {'Acceleration': '(-0.25354, 0.01342773, 0.9550781)', 'Roll': '14.86713', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.7785242'}
2022-06-04 21:41:10: {'Acceleration': '(-0.02246094, 0.05895996, 0.8820801)', 'Roll': '2.504004', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-3.820433'}
2022-06-04 21:41:11: {'Acceleration': '(-1.013672, 0.3615723, 1.001465)', 'Roll': '45.34708', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-16.96907'}
2022-06-04 21:41:12: {'Acceleration': '(0.01757813, 0.09851074, 0.6525879)', 'Roll': '1.018056', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.58288'}
2022-06-04 21:41:13: {'Acceleration': '(-0.6456299, 0.5394287, 1.266113)', 'Roll': '34.06893', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-7.27203'}
2022-06-04 21:41:14: {'Acceleration': '(-0.1455078, 0.2025146, 0.9853516)', 'Roll': '8.400212', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-10.53586'}
2022-06-04 21:41:15: {'Acceleration': '(-0.1748047, 0.1563721, 0.8206787)', 'Roll': '12.02431', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-10.55651'}
2022-06-04 21:41:16: {'Acceleration': '(-0.2199707, -0.2633057, 1.393921)', 'Roll': '7.897186', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '9.083229'}
2022-06-04 21:41:17: {'Acceleration': '(-0.4984131, -0.2602539, 1.079346)', 'Roll': '24.78623', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.3478'}
2022-06-04 21:41:18: {'Acceleration': '(-0.2648926, -0.2390137, 1.303223)', 'Roll': '11.4894', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.18882'}
2022-06-04 21:41:19: {'Acceleration': '(-0.09387207, 0.009887695, 0.7838135)', 'Roll': '6.702216', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.8491563'}
2022-06-04 21:41:20: {'Acceleration': '(0.01147461, -0.09997559, 1.236694)', 'Roll': '-0.5316009', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.621598'}
2022-06-04 21:41:21: {'Acceleration': '(-0.2061768, -0.1658936, 0.6945801)', 'Roll': '16.53281', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.89647'}
2022-06-04 21:41:22: {'Acceleration': '(-0.2784424, -0.1112061, 1.085449)', 'Roll': '14.38744', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.139776'}
2022-06-04 21:41:23: {'Acceleration': '(-0.0004882813, -0.009765625, 0.6022949)', 'Roll': '0.04644975', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.9289135'}
2022-06-04 21:41:24: {'Acceleration': '(-1.104858, 0.1650391, 0.9321289)', 'Roll': '49.84689', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-6.51334'}
2022-06-04 21:41:25: {'Acceleration': '(0.05761719, 0.0802002, 0.8634033)', 'Roll': '-3.817838', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '-14.63629'}
2022-06-04 21:41:26: {'Acceleration': '(-0.2740479, 0.08520508, 0.859375)', 'Roll': '17.68707', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-5.396205'}
2022-06-04 21:41:27: {'Acceleration': '(-0.1947021, 0.04187012, 0.7960205)', 'Roll': '11.07995', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.954919'}
2022-06-04 21:41:28: {'Acceleration': '(-1.277588, 0.06274414, 1.153198)', 'Roll': '47.92942', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-2.192389'}
