Testing SD card write operations: 2022-06-04 21:40:45
2022-06-04 21:40:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -33, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -36, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:40:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -37, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -56, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:40:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:40:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:40:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '709842b01305a86f0b138c5ebca7210be38037cae173bc9dbcd51fb97387c315', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-04 21:41:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-04 21:41:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd89e97db611c5a904eea8bc9617b5950ecfd62d9a3cac5304355016f3127b120', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
