Testing SD card write operations: 2022-06-25 15:00:00
2022-06-25 15:00:00: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:02: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:04: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '985bb3d65c0e50459dbbfda1dde086bc5ed1dc84cd26aaccb04c9412', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-06-25 15:00:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -67, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-06-25 15:00:07: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1b25430361d76c9d381604e89098a0ee6b0c85cbb15a92992ff890c2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
