Testing SD card write operations: 2022-09-11 17:12:23
2022-09-11 17:12:24: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-40}
2022-09-11 17:12:24: {'ssid':'P91', 'bssid':'ae53969377dcada0d6f9dbef4930062379736616d98ed3f88a3f9f76a8a60120', 'sec':4, 'channel':6, 'rssi':-91}
2022-09-11 17:12:24: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-95}
2022-09-11 17:12:25: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-62}
2022-09-11 17:12:25: {'ssid':'P93', 'bssid':'eccf89cb3fca6aafac5a35bc6395087cfc6d7427f5a202fc45eab37173550a8b', 'sec':4, 'channel':6, 'rssi':-87}
2022-09-11 17:12:25: {'ssid':'P94', 'bssid':'3cc71a2f1e82a69012060b5bb33e82e7f17830b1a77767056977619397f3aa48', 'sec':4, 'channel':1, 'rssi':-89}
2022-09-11 17:12:25: {'ssid':'P95', 'bssid':'8592a9c89c4afa3ba33575dbc74b8fae949028aa3602c23c50d3cffca7331dab', 'sec':5, 'channel':11, 'rssi':-94}
2022-09-11 17:12:25: {'ssid':'P96', 'bssid':'3a987b6bff7c5d38b429ba957546c06b51881f1fb815c136c9bbaf7c2c05238f', 'sec':0, 'channel':1, 'rssi':-95}
2022-09-11 17:12:27: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-11 17:12:27: {'ssid':'P97', 'bssid':'13509f002f05234a635c749c9824b77c49a944b24e8d6939ab765d559f207c94', 'sec':4, 'channel':11, 'rssi':-94}
2022-09-11 17:12:29: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-48}
2022-09-11 17:12:29: {'ssid':'P98', 'bssid':'3a472b2bd1d6f2bfa040433d0933983b41e202268c9a3631192badac4ef439e5', 'sec':4, 'channel':5, 'rssi':-93}
2022-09-11 17:12:31: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-47}
2022-09-11 17:12:33: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-11 17:12:33: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-88}
2022-09-11 17:12:33: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-88}
2022-09-11 17:12:33: {'ssid':'P911', 'bssid':'f0d5e68730308b65dca86e2651f1af3a90128de10b2f803e0cf53d3df5e3a984', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-11 17:12:33: {'ssid':'P911_wifi_invite', 'bssid':'3fef2b20f7f5844541701356439ad4d5d6efb0232ae33802189ccc10214f9ffb', 'sec':3, 'channel':11, 'rssi':-94}
2022-09-11 17:12:35: {'ssid':'P90', 'bssid':'addae31f4c9dd7f40b6337bf1c8d390e58837cbf3b8944a7eb41e5fdf3342f5c', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-11 17:12:37: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-86}
2022-09-11 17:12:37: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-87}
2022-09-11 17:12:37: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-87}
2022-09-11 17:12:37: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-88}
2022-09-11 17:12:37: {'ssid':'P911', 'bssid':'f0d5e68730308b65dca86e2651f1af3a90128de10b2f803e0cf53d3df5e3a984', 'sec':3, 'channel':11, 'rssi':-97}
2022-09-11 17:12:39: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-91}
2022-09-11 17:12:39: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-92}
2022-09-11 17:12:39: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-92}
2022-09-11 17:12:41: {'ssid':'P915', 'bssid':'a71cbd43af52bee20507dc37b6e3d863118809f6467ee882dc9b17c500f2292e', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:12:41: {'ssid':'P916', 'bssid':'ed87d72d0fb355c6e6ff398255aa4e0bc33b7f874918967e4b43a974b38f7530', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:12:41: {'ssid':'P92', 'bssid':'66eb2dab1c4d2e206396ee8ec2ab56c8176d8a239e5a8d905b06e65420808a94', 'sec':3, 'channel':6, 'rssi':-87}
2022-09-11 17:12:43: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-88}
2022-09-11 17:12:43: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-88}
2022-09-11 17:12:43: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-88}
2022-09-11 17:12:43: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-89}
2022-09-11 17:12:43: {'ssid':'P917', 'bssid':'41dee7d03aa8225ccaa652d1452709e6a853a2884938de92ca73531a68c259ad', 'sec':3, 'channel':6, 'rssi':-92}
2022-09-11 17:12:44: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-79}
2022-09-11 17:12:44: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-79}
2022-09-11 17:12:44: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-80}
2022-09-11 17:12:44: {'ssid':'P914', 'bssid':'15a938c184825801319348351384668a49d0b9b9ab5bdce16aca4a9c98e993b9', 'sec':0, 'channel':13, 'rssi':-80}
2022-09-11 17:12:46: {'ssid':'P95', 'bssid':'5cb32c3349132e4b89c9c1b5c9ade92e89d41f195ba5fb50883ef933c1679b2f', 'sec':5, 'channel':5, 'rssi':-84}
2022-09-11 17:12:48: {'ssid':'P910', 'bssid':'eae93873d2b468e1343e2a2649e7d9e97caaef3c5be7e8c2e77079a4d4b84a27', 'sec':4, 'channel':13, 'rssi':-90}
2022-09-11 17:12:48: {'ssid':'P913', 'bssid':'ef06b8dbe5002e95821ff25c064ba9fe09be0dd18f45026f244ebea90ebf5e04', 'sec':3, 'channel':13, 'rssi':-90}
2022-09-11 17:12:48: {'ssid':'P99', 'bssid':'5c96b74772f80b23fcd7babc05f7176b24f742727bf3cb3baa664891be453a34', 'sec':4, 'channel':13, 'rssi':-91}
