Testing SD card write operations: 2022-07-08 16:20:44
2022-07-08 16:20:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:20:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a578fac91eec428139cec1081defec7f59b313cee7b2eadaed683f6dae2fc0b0', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:20:47: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '11e9ed4ac5891bbd78a515bbfb0324d4faa9466c96845254e6e3f5bf6d0c74a2', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eaae6b49e2dd69185215d6cdc6296ee9d9b004149c6e0f034b78358260be113c', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:20:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '493eeaf596f57f62b690d4d95cd972ded37ffc9bf20907a17f43f4a3d29988b7', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:20:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:50: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f13b5d0e72b5045109a6dfcf0cadf481396a2b2c246a15527eef5e958938d56', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:20:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fefdf567e730450a5fd18f77eb20b6563a4825cc2a6ce8fac7cd1317c21688d7', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
2022-07-08 16:20:53: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8ea893975c446d3a5067f033fa025dbe6358a5c22eac9ff6450e0a97965b0e49', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 16:20:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eaae6b49e2dd69185215d6cdc6296ee9d9b004149c6e0f034b78358260be113c', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:20:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:20:58: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '9569af9f5bc0a538a6e868bd03cb8c39b51f9af179ea1a4f4c72b5328758292b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:20:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '413de9909c8901e22b48e5199e6ba938cdc678380cafe6d0d7d95f99253c2132', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 16:21:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '19eec0c5d72f4fa1e43841bc86f603231588b1926039efb0b4e932b51496e58f', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-07-08 16:21:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5f13b5d0e72b5045109a6dfcf0cadf481396a2b2c246a15527eef5e958938d56', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a578fac91eec428139cec1081defec7f59b313cee7b2eadaed683f6dae2fc0b0', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'c522d0f3f036db7a6066e837cb92de3b14686ae38952419d562ccca042d27adb', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:03: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '3c12c1598bc6fbe0eba42c43d065d10dbf0f954ce68eb2b4dde9d30efa544cf3', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 16:21:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'fe2e6696ad0662429c95b5c1f3f20858fc6c39e43f13010b7aa1613239fe359e', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 16:21:05: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5b298f95cc94a45561f11da04ae0527d8dcc9dec2d141edd57bac46c456c14d1', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
