Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:49:27: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': 'eb98102c093839b71a5bfe094a2cf6a1f350a123a05618cff7a3a193e8a3ea7b', 'rssi': -78, 'name': 'Tb100', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '62ba6df9c64f033f82e8bf82a20422e5cdb29e6b4caff4bd7f351fbe47df1cc2', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:49:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'eb53894d3c9da0e9a4bef442729d8764aff839b31f17b37be586e96b33af96ea', 'rssi': -72, 'name': 'Tb101', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 10, 'adv_tx_pwr': 3}
2022-07-08 21:49:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd7a9d294c56601ad51b87f5cd81b1d220c91ad1d5bf17c25162d6796c56f3fed', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd8f346e1129875e55a1cb3114c4feaa7ef7f6a0872d09102c55be39cf7dbb5a3', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '66aa7b856743897eddfb9b5f4de9921f2ef08a7cfc924be260cef44428eaae52', 'rssi': -72, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:49:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4ddb02dc32f67fc249bed022efbb2bd316405b2d00f07f9eb90a6454abd30901', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5f605ca92deeeaa2c0b9c8271f2a120997c0296838c332f1d5c727be4b097fb2', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:49:33: {'adv_flag': 2, 'def_tx_pwr': 3, 'mac': '796c2d0ba83a31c3603c80185fb76267ec26ea0b18fee65fd9cef0b7a0ea5d62', 'rssi': -81, 'name': 'Tb102\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -12, 'adv_tx_pwr': 3}
2022-07-08 21:49:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '3efe45507477da0b214a878f16f09098eb00b9dbc8b7940f322b4c4be6cefe61', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-08 21:49:35: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4bb617b519c698bc93c5506168fd91da90b01a586e1ce8f718ad7baf7df3943d', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
