Testing SD card write operations: 2022-07-08 21:49:25
2022-07-08 21:49:26: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:49:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-77}
2022-07-08 21:49:28: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-45}
2022-07-08 21:49:30: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:49:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:49:30: {'ssid':'HUAWEI P8 lite 2017', 'bssid':b'l\xb7I\x8c\xddW', 'sec':3, 'channel':6, 'rssi':-90}
2022-07-08 21:49:32: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:49:32: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-71}
2022-07-08 21:49:33: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:49:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:49:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-87}
2022-07-08 21:49:35: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-47}
2022-07-08 21:49:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-76}
2022-07-08 21:49:37: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:49:37: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:49:39: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-43}
2022-07-08 21:49:41: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-44}
2022-07-08 21:49:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!/|\xe1', 'sec':0, 'channel':6, 'rssi':-72}
2022-07-08 21:49:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!2F\x8f', 'sec':0, 'channel':1, 'rssi':-86}
2022-07-08 21:49:43: {'ssid':'iPhone', 'bssid':b':\xad\xdf\xfc\x1b\x0f', 'sec':3, 'channel':6, 'rssi':-41}
