Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
14:08:49,"(-0.5960693, -0.5881348, 0.59729)",45.38093,4.541183,87.45158,35.58797
14:08:50,"(-0.5855713, -0.5904541, 0.59021)",44.77396,4.546201,87.95336,35.38178
14:08:51,"(-0.5834961, -0.583252, 0.5876465)",44.77832,4.546201,87.95336,35.04045
14:08:52,"(-0.5869141, -0.5922852, 0.5831299)",45.1853,4.546201,87.95336,35.59819
14:08:52,"(-0.5725098, -0.5910645, 0.5786133)",44.69621,4.551219,88.45518,35.76428
14:08:53,"(-0.5787354, -0.5986328, 0.5754395)",45.16361,4.546201,87.95336,36.26017
14:08:54,"(-0.5703125, -0.5854492, 0.5985107)",41.66604,4.551219,88.45518,32.52778
14:08:55,"(-0.3477783, -0.2521973, 0.9588623)",20.05804,4.546201,87.95336,13.87781
14:08:56,"(-0.4450684, -0.3616943, 0.9656982)",24.7439,4.546201,87.95336,17.22986
14:08:57,"(-0.03540039, -0.2039795, 1.002197)",2.023005,4.546201,87.95336,11.49742
14:08:58,"(-0.01721191, -0.2071533, 0.9864502)",0.9996145,4.546201,87.95336,11.85796
14:08:59,"(-0.03320313, -0.2426758, 0.9931641)",1.91478,4.546201,87.95336,13.72357
14:09:00,"(-0.04260254, -0.2496338, 0.9941406)",2.453831,4.546201,87.95336,14.37467
14:09:01,"(-0.1547852, -0.4122314, 0.9501953)",7.891843,4.546201,87.95336,21.02043
14:09:01,"(-0.1386719, -0.3763428, 0.9211426)",8.561208,4.546201,87.95336,22.23111
14:09:02,"(-0.1209717, -0.3833008, 0.9631348)",8.15755,4.546201,87.95336,21.7874
14:09:03,"(-0.135376, -0.4572754, 0.8731689)",8.812962,4.551219,88.45518,27.36217
14:09:04,"(-0.05517578, -0.3781738, 0.9440918)",3.344746,4.546201,87.95336,21.7958
14:09:05,"(-0.05371094, -0.3880615, 0.9395752)",3.27176,4.546201,87.95336,22.77229
14:09:06,"(-0.08874512, -0.3964844, 0.9595947)",5.283791,4.546201,87.95336,22.36341
14:09:07,"(-0.08776855, -0.3837891, 0.9447021)",5.307888,4.551219,88.45518,21.72176
14:09:07,"(-0.1099854, -0.34375, 0.9517822)",6.591706,4.546201,87.95336,19.73682
14:09:08,"(-0.09655762, -0.3436279, 0.9696045)",5.215211,4.546201,87.95336,18.91552
14:09:09,"(-0.09057617, -0.3353271, 0.9439697)",5.480888,4.521111,85.44443,19.47394
14:09:10,"(-0.1098633, -0.3435059, 0.9415283)",6.655524,4.546201,87.95336,19.44655
14:09:11,"(-0.09960938, -0.3487549, 0.9195557)",6.182366,4.546201,87.95336,19.98604
14:09:12,"(-0.09790039, -0.3734131, 0.9390869)",3.593779,4.551219,88.45518,20.93261
14:09:13,"(-0.05981445, -0.3817139, 0.9448242)",3.622418,4.546201,87.95336,21.9592
14:09:14,"(-0.09228516, -0.3623047, 0.9338379)",6.199585,4.551219,88.45518,21.12427
14:09:14,"(-0.1241455, -0.369873, 0.9255371)",7.639682,4.546201,87.95336,21.6077
14:09:15,"(-0.1164551, -0.3684082, 0.9592285)",6.577751,4.551219,88.45518,20.59802
14:09:16,"(-0.09655762, -0.3609619, 0.9567871)",5.762699,4.541183,87.45158,20.81042
14:09:17,"(-0.0916748, -0.3532715, 0.9587402)",5.324546,4.541183,87.45158,20.08898
14:09:18,"(-0.1188965, -0.3604736, 0.9158936)",7.396474,4.546201,87.95336,21.32075
14:09:19,"(-0.08081055, -0.3496094, 0.932373)",4.953555,4.546201,87.95336,20.48402
14:09:20,"(-0.1098633, -0.340332, 0.9262695)",6.764155,4.551219,88.45518,20.2819
14:09:20,"(-0.09814453, -0.3427734, 0.9414063)",5.955146,4.551219,88.45518,20.00624
14:09:21,"(-0.08093262, -0.3415527, 0.9454346)",4.870893,4.546201,87.95336,20.08063
14:09:22,"(-0.06213379, -0.3378906, 0.9396973)",3.782952,4.551219,88.45518,19.7375
14:09:23,"(-0.06286621, -0.3366699, 0.9399414)",4.041194,4.546201,87.95336,19.66136
14:09:24,"(-0.05895996, -0.3416748, 0.9510498)",3.547489,4.551219,88.45518,19.85959
14:09:25,"(-0.0546875, -0.333374, 0.9542236)",4.608262,4.551219,88.45518,19.57442
14:09:26,"(-0.06481934, -0.3352051, 0.9464111)",3.918047,4.546201,87.95336,19.79505
14:09:27,"(-0.0637207, -0.3319092, 0.9549561)",3.817477,4.551219,88.45518,19.12622
14:09:27,"(-0.06103516, -0.3371582, 0.9516602)",3.669664,4.541183,87.45158,19.50991
14:09:28,"(-0.06994629, -0.3397217, 0.9523926)",4.200416,4.546201,87.95336,19.58278
14:09:29,"(-0.07592773, -0.3366699, 0.9250488)",4.599249,4.551219,88.45518,19.6634
14:09:30,"(-0.04052734, -0.3376465, 1.000854)",2.318796,4.546201,87.95336,18.62803
14:09:31,"(-0.06860352, -0.3421631, 0.9619141)",4.079416,4.546201,87.95336,19.53516
14:09:32,"(-0.05297852, -0.3365479, 0.947998)",3.198626,4.546201,87.95336,19.60513
14:09:33,"(-0.05871582, -0.3282471, 0.9849854)",3.442798,4.546201,87.95336,18.05762
14:09:34,"(-0.04614258, -0.3150635, 0.97229)",3.189281,4.546201,87.95336,18.37636
14:09:34,"(-0.07824707, -0.3151855, 0.9521484)",4.69798,4.546201,87.95336,18.25842
14:09:35,"(-0.0838623, -0.3242188, 0.9759521)",4.399243,4.551219,88.45518,17.63838
14:09:36,"(-0.07958984, -0.3326416, 0.9726563)",4.677938,4.546201,87.95336,18.43267
14:09:37,"(-0.06994629, -0.3271484, 0.9609375)",4.125641,4.551219,88.45518,19.09696
14:09:38,"(-0.06872559, -0.3175049, 0.9389648)",4.186181,4.546201,87.95336,18.63624
14:09:39,"(-0.06762695, -0.3293457, 0.9335938)",4.143111,4.546201,87.95336,19.38442
14:09:40,"(-0.07885742, -0.3299561, 0.9580078)",4.133553,4.551219,88.45518,18.806
14:09:40,"(-0.06335449, -0.3256836, 0.9501953)",3.814563,4.551219,88.45518,19.01327
14:09:41,"(-0.07836914, -0.3366699, 0.9471436)",4.730028,4.556237,88.95696,19.50657
14:09:42,"(-0.06872559, -0.3188477, 0.9554443)",4.114228,4.541183,87.45158,19.27886
14:09:43,"(-0.07702637, -0.3413086, 0.949585)",4.637441,4.551219,88.45518,20.05957
14:09:44,"(-0.07336426, -0.3419189, 0.9481201)",4.424653,4.551219,88.45518,19.77623
14:09:45,"(-0.08361816, -0.3422852, 0.942749)",5.068648,4.546201,87.95336,19.80287
14:09:46,"(-0.08105469, -0.3404541, 0.9488525)",4.882576,4.551219,88.45518,19.67218
14:09:47,"(-0.0793457, -0.3393555, 0.9510498)",4.373655,4.546201,87.95336,19.1613
14:09:47,"(-0.0802002, -0.3455811, 0.9420166)",4.866239,4.551219,88.45518,20.02114
14:09:48,"(-0.08374023, -0.3433838, 0.9465332)",5.055821,4.546201,87.95336,19.49984
14:09:49,"(-0.06799316, -0.3364258, 0.9592285)",5.256877,4.551219,88.45518,19.36817
14:09:50,"(-0.08862305, -0.3447266, 0.942627)",5.370995,4.546201,87.95336,19.66688
14:09:51,"(-0.08300781, -0.3413086, 0.9645996)",4.918423,4.551219,88.45518,19.41916
14:09:52,"(-0.0625, -0.3366699, 0.9732666)",3.768744,4.546201,87.95336,18.88295
