Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:08:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '849c7d86ed3e1f8848cf317ac131be54dbc8d727f747f7ced9bdb47c2bb0fdf1', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:08:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '6ca56488cc22711458ddaf988b01ea86602e466ecd8ef811f51244b2b5042d80', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd000df3f3354fc3d7c50ab6fe7890cedd2bf13b6f70cdd2ab3ef67897bc518c3', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:52: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '754ffb093a3183171d5c1e17a26c9e4eb3363cc9b3b93a8449d3e9800b3ad9b9', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '8329313a01319c94093129753253c48f8a1d4847f4f3ab2e03ee61adf5642949', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd000df3f3354fc3d7c50ab6fe7890cedd2bf13b6f70cdd2ab3ef67897bc518c3', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '88090f2cb0e61fd34586a0c07db752a80ee1f71ac72c848d39a631eb80a89dc4', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e623fd328855ee9491a72abeec3809ec64d4d67251c6937e351f8996bf31b4a2', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:08:57: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '0615756e41fc2c47df8238652bc0a2c3cce8499fa0e649ba08e15f27b60b722c', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:08:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a9967824b688075cfd01a5d740683e10def8cde1e824c154bc4f624c8c88b467', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:08:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f1ef50f65702fa94c6fd4b001fd22ee2f7fba4ed35ea33520a68081235ec6d1a', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e62ca6fa0e12274270d9b405b2cf1a452a94026e2b288cb6f5ab795b9a62e2fe', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:01: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '668bb23cf4b69f4dde59aa8c3d95a74e6e5b272fc52e3d9c9a8d1f052d228e25', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 4, 'adv_tx_pwr': 3}
