Time,spreading_factor,data,frequency,bandwidth,rx_timestamp,rssi,snr,sfrx,sftx,tx_trials,tx_power,tx_time_on_air,tx_counter,tx_frequency
14:49:27,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:28,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:30,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:32,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:34,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:36,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:38,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:39,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:41,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:43,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:45,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:47,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:48,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:50,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:52,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:54,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:56,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:58,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:49:59,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:01,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:03,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:05,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:07,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:08,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:10,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:12,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:14,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:16,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:18,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:19,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:21,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:23,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:25,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:27,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:29,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:30,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:32,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:34,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:36,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:38,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:39,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:41,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:43,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:45,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:47,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:49,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:50,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:52,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:54,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:56,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:58,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:50:59,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:01,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:03,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:05,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:07,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:09,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:10,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:12,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:14,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:16,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:18,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:19,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:21,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:23,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:25,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:27,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:29,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:30,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:32,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:34,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:36,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:38,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:39,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:41,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:43,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:45,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:47,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:49,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:50,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:52,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:54,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:56,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:58,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:51:59,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:01,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:03,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:05,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:07,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:09,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:10,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:12,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:14,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:16,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:18,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:19,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:21,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:23,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:25,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:27,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:29,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:30,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:32,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:34,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:36,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:38,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:40,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:41,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:43,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:45,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:47,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:49,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:51,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:52,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:54,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:56,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:52:58,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:00,7,b'',866200000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:01,7,b'',866400000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:03,7,b'',866600000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:05,7,b'',863000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:07,7,b'',864000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:09,7,b'',865000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:11,7,b'',866000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:12,7,b'',867000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:14,7,b'',868000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:16,7,b'',869000000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:18,7,b'',864862500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:20,7,b'',865062500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:21,7,b'',865402500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:23,7,b'',865602500,0,94615830,-123,-10.0,7,0,0,14,0,0,0
14:53:25,7,b'',865985000,0,94615830,-123,-10.0,7,0,0,14,0,0,0
