Testing SD card write operations: 2022-07-06 14:49:25
2022-07-06 14:52:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:52:36: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1bd86896b2884333c9a264588de16f4ed19a3ff37f7ced231ce40da254274b6', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:37: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -64, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b1bd86896b2884333c9a264588de16f4ed19a3ff37f7ced231ce40da254274b6', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:39: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:39: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1778343ef73db887c1ae4ad91e1abc3d1ec8ca673857018fec61ca9ea0f52a40', 'rssi': -97, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:40: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '48782bffcc87518395d0ddb2921d22e470c9d7f40f216012d950c45fc893f834', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:52:41: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '265752a55c94c732420a5487c912a9505574b9164f73de6ffed516712c73341b', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:42: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '454b36463f9f317176f89aeb552e274baae4aa2d593afb3931ff28e32c78dc59', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:43: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:44: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5eab4057a6e97a5ef0ad9c4339337191e2710dbdc68eb4f7ab39ea2d92c69558', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:45: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:46: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '53cf9d8f330d9ecf8c0fe46905871d792f6bcf3ed1a55aadd235664b2eb64fc8', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'cdeafc786d359a9cd81bdb7278f77c5002cbed93865566c68affea62f081b045', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:52:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:48: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '68e2292da5438604f30e662b9912bdf91ec59e9c8bd2975eeefb0de120765264', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-06 14:52:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '737066d480041d266133c0e6477f1e5bb57dfaa4fe8b72573b4d079db0352240', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '322cdd421c2560b83a19a10d5c2a261813ab5b7812206babc2a5009d15bad803', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1726ccbca0bce6c8a120ca56f8a77f5419a852235116bd6e977d025013f9a18b', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:52:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f23d585cf2c2ce28d8adfab59151ffbc3822cb6649967d358b5bf185d0b91abf', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8afe6745f227858c02a299fccb777cdccd60a59eabb634508aefe5b6159fdbf', 'rssi': -40, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:52:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9acebcd7e0656c8fa53aa64248dd97f3c8966d2295ac19d77a75dc08f9678096', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-06 14:52:55: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '737066d480041d266133c0e6477f1e5bb57dfaa4fe8b72573b4d079db0352240', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:52:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ebbd31d1d07914ecf43cb10fef3f128fbfda7da057e5c097546377d77a98e892', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
