Testing SD card write operations: 2022-05-25 18:27:14
2022-05-25 18:27:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '28f3919bf33cfac15c918a767ef7f54a0ec504e06fcc83b2f2a883ce131a0f29', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-25 18:27:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd394dc908b0a2aabdd7eb4ba3674f001b68a34f6b7fe5d7b1269616a173ddc94', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-25 18:27:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e65f92f36da7893e2da3de3eb9627edbde5c2c8f4fe6533c53435b452720e6b1', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:28: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e22fc4ac43fb52231ed926fe48881fcab52c67b6b08f8a651bc2e62fd69763fb', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:29: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b92de73e30f8995e41dc545e95c4b2bab4d2e8a18ff457dde8acf1d2083f64de', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:30: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '28f3919bf33cfac15c918a767ef7f54a0ec504e06fcc83b2f2a883ce131a0f29', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 5, 'adv_tx_pwr': 3}
2022-05-25 18:27:31: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '232646beb33b2d7e2bdf94a24159036bc4986059c404d9841aba8689e2dabd2a', 'rssi': -52, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:32: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b92de73e30f8995e41dc545e95c4b2bab4d2e8a18ff457dde8acf1d2083f64de', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-25 18:27:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '4ccdb10f12d03d7bfccff5f5dc5deb5698f21b4949afb57ede798ea16938539c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:33: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '678dbece261664f93901815fa03767d73f3612c0441891c10e6df4010261849e', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-25 18:27:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2e29dc84075e5099a2db53848362b9dc3e8bc9ed96ad99635d97f5f6a24ccc78', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
