Testing SD card write operations: 2022-05-25 18:26:53
2022-05-25 18:27:26: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-35}
2022-05-25 18:27:26: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-67}
2022-05-25 18:27:27: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 18:27:29: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-29}
2022-05-25 18:27:29: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-68}
2022-05-25 18:27:31: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-31}
2022-05-25 18:27:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:27:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-71}
2022-05-25 18:27:35: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-17}
2022-05-25 18:27:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:27:37: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-28}
2022-05-25 18:27:38: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:27:38: {'ssid':'AndroidAP7D11', 'bssid':b'\xceY\x07\x1dg\xbb', 'sec':3, 'channel':6, 'rssi':-95}
2022-05-25 18:27:40: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-46}
2022-05-25 18:27:40: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-68}
2022-05-25 18:27:42: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-50}
2022-05-25 18:27:42: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:27:44: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-58}
2022-05-25 18:27:44: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:27:48: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:27:50: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-36}
2022-05-25 18:27:50: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:27:51: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-35}
2022-05-25 18:27:51: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:27:53: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-37}
2022-05-25 18:27:55: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-37}
2022-05-25 18:27:57: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-34}
2022-05-25 18:27:57: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:27:59: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-40}
2022-05-25 18:27:59: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-68}
2022-05-25 18:28:01: {'ssid':'iPhone', 'bssid':b'b\x9e:\xcbCy', 'sec':3, 'channel':6, 'rssi':-32}
