Testing SD card write operations: 1970-01-01 02:00:04
2022-09-16 17:15:03: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-53}
2022-09-16 17:15:03: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-59}
2022-09-16 17:15:03: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-16 17:15:05: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-54}
2022-09-16 17:15:05: {'ssid':'T143', 'bssid':'3f5ec3b59b81cf389c81dcbecd5e6649cc071990148704e774a1d713', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-16 17:15:05: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-59}
2022-09-16 17:15:05: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-65}
2022-09-16 17:15:07: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-53}
2022-09-16 17:15:07: {'ssid':'T143', 'bssid':'3f5ec3b59b81cf389c81dcbecd5e6649cc071990148704e774a1d713', 'sec':3, 'channel':6, 'rssi':-54}
2022-09-16 17:15:07: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-16 17:15:07: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-67}
2022-09-16 17:15:07: {'ssid':'T144', 'bssid':'c20379ef96f7b5c896a16e1a987a79d2f0bbae54f028c30dda846f6c', 'sec':3, 'channel':6, 'rssi':-81}
2022-09-16 17:15:09: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-53}
2022-09-16 17:15:09: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-60}
2022-09-16 17:15:09: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-66}
2022-09-16 17:15:11: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-53}
2022-09-16 17:15:11: {'ssid':'T142', 'bssid':'aee1b2115abe90312b6a74852b2dc8a0acff80f28cf4555306eee576', 'sec':3, 'channel':6, 'rssi':-59}
2022-09-16 17:15:11: {'ssid':'T141', 'bssid':'c5fd90378f307c7128f1df81b346707785130dd6eaf99f129bfba4cc', 'sec':3, 'channel':11, 'rssi':-65}
2022-09-16 17:15:11: {'ssid':'T144', 'bssid':'c20379ef96f7b5c896a16e1a987a79d2f0bbae54f028c30dda846f6c', 'sec':3, 'channel':6, 'rssi':-78}
2022-09-16 17:15:12: {'ssid':'T140', 'bssid':'eaae67c2ab87a3794132f818a26d0a0e6498355ca172226f30d4bb52', 'sec':0, 'channel':1, 'rssi':-53}
